Description,Fixed_Requirement,Scope_ambiguity,Source_of_Fix,Explanation_of_Fix
The EMC shall be able to maintain an equipment list for each station.,The EMC shall maintain a separate equipment list for each individual station.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each QChS shall produce a unique quality flag value.,Each QChS shall produce a quality flag value that is unique across the entire system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The Clarus system shall allocate each collector to a specific host.,The Clarus system shall allocate each collector to exactly one specific host.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The Clarus system shall allocate each contributor to a specific host.,The Clarus system shall allocate each contributor to exactly one specific host.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.,"The Clarus system shall respond to 95% of environmental data requests, and this 95% response rate shall be achieved during 95% of operational time periods.",1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.","Contributors shall provide the Clarus program with timely notice before changing, altering, replacing, or eliminating any piece of shared data or information specified in this Clarus Data Sharing Agreement.",1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
"Any reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules.","Each reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be interpreted as referring to the current amended, substituted, replaced or re-enacted version of that specific statute, regulation or rule.",1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Transfers – The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.,Data transfers shall ensure that all data required for each specific Fourier Transform operation is located on a single processor before that operation begins.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each QChS shall produce a unique quality value.,Each QChS shall produce a quality value that is unique within that QChS instance.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Fourier Transform Processing – The BE shall be able to perform Fourier Transform the lag set time series. A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used. This process must be able to accept as input the output of any of the time domain processes.,"The Fourier Transform processing shall accept as input the output from each individual time domain process, processing them separately. The BE shall use a power-of-two complex-to-complex Fast Fourier Transform retaining all positive and negative frequencies.",1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Start Process – The BE shall be able to initiate a processing task on any Backend processor.,"The BE shall be able to initiate a processing task on any available Backend processor, with the system selecting an appropriate processor based on current load.",1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Stop Process – The BE shall be able to signal a kill for any Backend process.,The BE shall be able to signal termination for any individual Backend process currently running in the system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Reboot Processor – The BE shall be able to initiate a reboot of any Backend a physical processor.,The BE shall be able to initiate a reboot of any individual physical Backend processor.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Reboot network – The BE shall be able to initiate a reboot of any internal network.,The BE shall be able to initiate a reboot of any individual internal network component within the system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Output Data Queue – a memory buffer plus backup disk storage of all processed spectra. These will be converted to output AIPS++ Measurement Set entities prior to transfer to the e2e. Data entry status queue to track each record in the buffer.,The Output Data Queue shall consist of a memory buffer with backup disk storage containing all processed spectra. Each spectrum shall be converted to an AIPS++ Measurement Set entity before transfer to the e2e system. A data entry status queue shall track the processing status of each individual record.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Input Data Queue – Each record in this queue contains all data needed for any correlation process.,"The Input Data Queue shall contain records, where each individual record contains all data needed for a specific correlation process.",1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Correlator Control – The BE shall support the management of correlator activities in order to optimize the use of any correlator resource.,The Correlator Control function shall support management of correlator activities to optimize the use of individual correlator resources based on current system demands.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Input Data Format – All input data shall arrive in a standard format readable by any backend processor.,All input data shall arrive in a standard format that is readable by every backend processor in the system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Pipeline Control – The BE shall be able to configure and control any pipeline running on the system.,The BE shall be able to configure and control each individual pipeline currently running on the system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
"Data Output Control – The BE shall have the capability to start, stop, or abort any data output operation.","The BE shall have the capability to start, stop, or abort each individual data output operation independently.",1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Resource monitoring - The BE shall monitor all system resources and report the status of any resource that approaches predefined limits.,The BE shall continuously monitor all system resources and report the status of each individual resource when it approaches its predefined limits.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall maintain a log of all user actions and any system events.,The system shall maintain a comprehensive log containing all user actions and each individual system event as they occur.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each user shall have access to any file they are authorized to view.,Each user shall have access to every file for which they have been granted viewing authorization.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall backup all critical data to any available storage device.,The system shall backup all critical data to any available storage device that meets the backup requirements.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any administrator can modify all user permissions simultaneously.,Each administrator can modify all user permissions through a single batch operation.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The application shall validate all input from any external source.,The application shall validate all input received from each individual external source.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each transaction shall be logged to any available audit trail.,Each transaction shall be logged to any configured audit trail that is available at that time.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall notify all users of any security breach immediately.,The system shall immediately notify every user in the system when any security breach is detected.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any error in all system modules shall trigger appropriate recovery procedures.,Each error occurring in any system module shall trigger appropriate recovery procedures specific to that module.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The database shall replicate all changes to any backup server.,The database shall replicate all changes to every configured backup server in real-time.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each sensor shall report all readings to any monitoring station.,Each sensor shall report all its readings to every designated monitoring station in the network.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall compress all files before storing them in any archive location.,The system shall compress all files before storing them in each designated archive location.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any maintenance operation shall not affect all running processes.,Each maintenance operation shall be designed to avoid disrupting any currently running processes.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The firewall shall block all unauthorized access from any external network.,The firewall shall block unauthorized access attempts from each individual external network connection.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each report shall be generated from all data available in any connected database.,Each report shall be generated using all relevant data available across every connected database.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall automatically update all software components when any new version is available.,The system shall automatically update each software component when a new version of that specific component becomes available.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any user with administrative privileges can access all system logs.,Each user with administrative privileges can access every system log in the centralized logging system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The monitoring system shall track all performance metrics for any active service.,The monitoring system shall track all performance metrics for each individual active service separately.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each backup operation shall verify all data integrity across any storage medium.,Each backup operation shall verify data integrity for all backed-up data on every storage medium used.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall synchronize all configuration changes with any connected node.,The system shall synchronize all configuration changes with every connected node in the network.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any alarm condition shall notify all relevant personnel immediately.,Each alarm condition shall immediately notify every person designated as relevant for that specific alarm type.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The application shall cache all frequently accessed data in any available memory pool.,The application shall cache frequently accessed data in every available memory pool to optimize performance.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each authentication attempt shall be verified against all configured security providers.,Each authentication attempt shall be verified against every configured security provider in sequence.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall distribute all processing tasks evenly across any available processor.,The system shall distribute all processing tasks evenly across every available processor using load balancing algorithms.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any configuration change shall be propagated to all affected system components.,Each configuration change shall be propagated to every system component that is affected by that specific change.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The database shall maintain all foreign key relationships with any referenced table.,The database shall maintain all foreign key relationships with every table that is referenced by those keys.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each quality check shall examine all data points from any measurement source.,Each quality check shall examine all data points received from every configured measurement source.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall archive all completed transactions to any designated storage location.,The system shall archive all completed transactions to every storage location designated for archival purposes.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any network failure shall trigger all configured redundancy mechanisms.,Each network failure shall trigger every redundancy mechanism configured for that specific network component.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The application shall validate all user inputs against any defined business rule.,The application shall validate all user inputs against every business rule defined for the relevant data type.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each data export operation shall include all records matching any specified criteria.,Each data export operation shall include all records that match every criterion specified for that export.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall maintain all audit records for any regulatory compliance requirement.,The system shall maintain all audit records required for every applicable regulatory compliance standard.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any system restart shall preserve all active sessions across any connected client.,Each system restart shall preserve all active sessions for every client currently connected to the system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The monitoring dashboard shall display all critical metrics from any monitored system.,The monitoring dashboard shall display all critical metrics collected from every system being monitored.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each data transformation shall apply all configured rules to any input record.,Each data transformation shall apply every configured transformation rule to each individual input record.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall encrypt all sensitive data before transmission to any external system.,The system shall encrypt all sensitive data before transmission to each individual external system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any performance degradation shall trigger all appropriate alerting mechanisms.,Each instance of performance degradation shall trigger every alerting mechanism configured for that performance metric.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The backup system shall verify all restored data against any original source.,The backup system shall verify all restored data against every original source from which it was backed up.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each workflow shall execute all defined steps in any specified sequence.,Each workflow shall execute all defined steps in the exact sequence specified for that particular workflow.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall replicate all database changes to any standby server immediately.,The system shall immediately replicate all database changes to every configured standby server.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any security incident shall be reported to all designated authorities within any required timeframe.,Each security incident shall be reported to every designated authority within the specific timeframe required for that incident type.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The application shall process all queued messages from any connected system.,The application shall process all queued messages received from each individual connected system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each user interface shall display all relevant information for any current context.,Each user interface shall display all information that is relevant to the specific context currently active.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall maintain all transaction logs across any system restart.,The system shall maintain all transaction logs through every system restart that occurs.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any data corruption shall trigger all configured recovery procedures automatically.,Each instance of data corruption shall automatically trigger every recovery procedure configured for that data type.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The monitoring system shall collect all performance data from any active component.,The monitoring system shall collect all performance data from each individual active component in the system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each report generator shall access all required data from any authorized source.,Each report generator shall access all required data from every source for which it has been granted authorization.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall schedule all maintenance tasks during any available downtime window.,The system shall schedule all maintenance tasks during every available downtime window that meets the task requirements.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any configuration error shall prevent all system operations until any issue is resolved.,Each configuration error shall prevent all system operations until every issue related to that configuration is resolved.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The application shall cache all lookup data from any reference system.,The application shall cache all lookup data retrieved from each individual reference system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each data validation shall check all fields against any applicable constraint.,Each data validation operation shall check all fields against every constraint that applies to that data record.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall distribute all incoming requests across any available service instance.,The system shall distribute all incoming requests across every available service instance using load balancing algorithms.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any timeout condition shall cancel all pending operations for any affected user.,Each timeout condition shall cancel all pending operations for every user affected by that specific timeout.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The database shall index all searchable fields in any user table.,The database shall create indexes on all searchable fields in every user table in the system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each synchronization process shall update all modified records from any source system.,Each synchronization process shall update all modified records received from each individual source system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall log all error conditions to any configured logging destination.,The system shall log all error conditions to every logging destination that has been configured for error reporting.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any resource conflict shall be resolved using all available arbitration mechanisms.,Each resource conflict shall be resolved using every arbitration mechanism available for that specific resource type.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The application shall validate all digital signatures against any trusted certificate authority.,The application shall validate all digital signatures against every certificate authority in the trusted certificate store.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each data migration shall preserve all relationships between any related entities.,Each data migration operation shall preserve all relationships that exist between every pair of related entities.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall compress all archived data using any available compression algorithm.,The system shall compress all archived data using every available compression algorithm to achieve optimal storage efficiency.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any network partition shall activate all configured failover procedures.,Each network partition event shall activate every failover procedure configured for the affected network segment.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The monitoring system shall aggregate all metrics from any data collector.,The monitoring system shall aggregate all metrics received from each individual data collector in the network.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each transaction shall maintain all ACID properties across any participating database.,Each transaction shall maintain all ACID properties across every database that participates in that transaction.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall replicate all security policies to any managed endpoint.,The system shall replicate all security policies to every endpoint that is under management by the security system.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any data inconsistency shall trigger all configured reconciliation processes.,Each data inconsistency detected shall trigger every reconciliation process configured for that specific data type.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The application shall render all user interfaces for any supported device type.,The application shall render all user interfaces optimized for each individual supported device type.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each backup verification shall compare all checksums against any original data.,Each backup verification process shall compare all checksums against the checksums of every piece of original data.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall route all messages to any appropriate destination based on content.,The system shall route all messages to every appropriate destination determined by analyzing the message content.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any privilege escalation shall require approval from all designated authorities.,Each privilege escalation request shall require approval from every authority designated for that specific privilege level.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The database shall maintain all referential integrity across any table relationship.,The database shall maintain referential integrity across every table relationship defined in the database schema.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each quality assurance check shall examine all data attributes for any anomaly detection.,Each quality assurance check shall examine all data attributes to detect every possible anomaly type configured for that data.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall notify all stakeholders of any critical system event.,The system shall notify every stakeholder when any critical system event occurs that affects their area of responsibility.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Any system upgrade shall preserve all existing configurations across any affected component.,Each system upgrade shall preserve all existing configurations for every component affected by that upgrade.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The application shall synchronize all user preferences with any connected profile service.,The application shall synchronize all user preferences with every profile service to which the user's account is connected.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
Each monitoring alert shall include all relevant context from any related system.,Each monitoring alert shall include all relevant contextual information from every system related to the alert condition.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
The system shall maintain all session state across any server failover.,The system shall maintain all session state information through every server failover event that occurs.,1,,Reconstructed from expected evaluation output because original scope_fixed.csv was missing from the supplied artifact.
