requirement_id,Name_of_Project,Original_Requirement,Fixed_Requirement
1411,2005_swen_556,The database server shall return all room numbers and corresponding building name.,The database server shall return all room numbers and their corresponding building names.
824,2002_wasp,The WASP scheduler shall be invokable from within a larger system (or command line).,The WASP scheduler shall be invokable either from within a larger system or from a command line.
315,2005_clarus_low,The Clarus program shall report successes and failures in data and information transmission to its contributors.,The Clarus program shall report both successes and failures in transmission of both data and information to the program's contributors.
1434,2005_swen_556,The database server shall assign room numbers and corresponding building names for all course sections.,The database server shall assign room numbers and building names to all course sections.
1424,2005_swen_556,The database server shall return class schedules with days and times.,The database server shall return class schedules including days and times.
1193,2005_swen_561,Automatically save any preferences entered to a file.,Automatically save any entered preferences to a file.
1392,2005_swen_556,The database server shall create new entries for the instructor name and room number.,The database server shall create new entries for instructor names and room numbers.
385,2005_clarus_low,The BE shall ensure that time series data is correctly ordered and contains valid data values along its entire extent.,The BE shall ensure that all time series data are ordered chronologically and that every data value in the series is valid across the entire duration of the dataset.
1400,2005_swen_556,The database server shall confirm that the course number and section have been added.,The database server shall confirm when a course number and section have been added.
1442,2005_swen_556,The database server shall organize department information by department name and code.,The database server shall organize department information by their name and code.
304,2005_clarus_low,The contributors shall identify the intended use of their shared data and information.,The contributors shall identify the intended use of their shared data and the intended use of their shared information.
718,2001_hats,[SRSreq 73] The HATS-GUI shall be designed to display a network graph within a defined viewing area.,[SRSreq 73] The HATS-GUI shall display network graphs within a defined viewing area.
1208,2005_swen_561,The user shall be able to minimize and maximize the application.,The user shall be able to minimize or maximize the application.
698,2001_hats,[SRSreq 53] There shall be exactly one file describing the lexical specification of inputs associated with an application. It shall have the file extension .spec.,[SRSreq 53] There shall be exactly one file per application describing the lexical specification of inputs. This file shall use the .spec extension.
826,2002_wasp,The WASP scheduler shall allow the input of observing constraints.,The WASP scheduler shall accept observing constraints as input.
1296,2005_swen_561,The user shall be able to undo or redo an action.,The user shall be able to undo actions or to redo them.
1514,2005_swen_556_short,The database server shall output error messages when invalid account and/or password are entered.,The database server shall output error messages when an invalid account or password is entered.
1402,2005_swen_556,The database server shall check for matching course number and section number.,The database server shall check for matching pairs of course numbers and section numbers.
1290,2005_swen_561,The application shall present the problems randomly and without duplicates.,The application shall present problems in random order and without duplication.
737,2005_clarus_low,The HATS-GUI shall confirm that the transformation language program exists.,The HATS-GUI shall confirm that the file for the transformation language program exists.
857,2002_wasp,The WASP system should be able to handle fixed start-time requests.,The WASP system shall support fixed start-time observation requests.
624,2005_clarus_low,The system shall be capable of operating with a single-sign-on authentication mechanism based on Active Directory Services or the LDAP standard.,The system shall be capable of operating with a single-sign-on authentication mechanism that is based on either Active Directory Services or the LDAP standard.
850,2002_wasp,A valid observation request must include a target and an instrument configuration.,A valid observation request must specify both a target and an instrument configuration.
598,2005_clarus_low,The system must be designed so that it can migrate to upgraded hardware or new versions of the operating systems involved.,The system must be designed such that the system can migrate to upgraded hardware or migrate to new versions of the operating systems involved.
489,2005_clarus_low,Any user who creates or joins a game will be able to upload their own JPEG or GIF image that they wish to have displayed above their name.,Any user who creates or joins a game will be able to upload their own JPEG image or GIF image that the user wishes to have displayed above their name.
539,2005_clarus_low,The coding standard will be the same as that suggested by Sun Microsystems.,The coding standard will be the same as the standard that is suggested by Sun Microsystems.
1533,2005_swen_556_short,The database server shall add the building name and room number for the course section.,The database server shall add building names and room numbers to course sections.
451,2005_clarus_low,"Requirement 3.7.1 shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces.",Requirement 3.7.1 shall be accomplished seamlessly such that the accomplishment does not affect hardware modules or software functionality at the interfaces.
1256,2005_swen_561,The application shall display the total number of sessions and session time.,The application shall display both the total number of sessions and the total session time.
859,2002_wasp,The WASP system should be able to handle fixed end-time requests.,The WASP system shall support fixed end-time observation requests.
836,2002_wasp,The WASP system shall allow for the generation of custom resource schedule elements for other applications to use.,The WASP system shall generate custom resource schedule elements for use by other applications.
777,2002_wasp,The WASP scheduler shall take as input a set of requests and output a valid schedule of observations.,The WASP scheduler shall take a set of observation requests as input and output a valid observation schedule.
1394,2005_swen_556,The database server shall return a department name and corresponding code for given entry.,"For a given entry,  the database server shall return a department name and its corresponding code."
716,2001_hats,"[SRSreq 71] The Simulation/Prediction function of the EBC module shall be capable of simulating the effect of various topological changes to the network, such as different failure scenarios or different loading conditions.","[SRSreq 71] The EBC module's Simulation/Prediction function shall simulate effects of network topological changes, including failure scenarios and loading condition variations."
1250,2005_swen_561,The student view shall list the answers alphabetically and numerically.,The student view shall list answers in both alphabetical and numerical order.
1113,2005_clarus_low,The TCS data sensitivities shall be determined by the data sensitivities of the systems with which it interfaces.,The TCS data sensitivities shall be determined by the data sensitivities of the systems with which the TCS interfaces.
1275,2005_swen_561,The application shall read student data when the session starts and read study guides.,The application shall read student data at session start and shall read study guides.
852,2002_wasp,The WASP system shall accept as input pre-existing observation schedules.,The WASP system shall accept pre-existing observation schedules as input.
409,2002_evla_back,Reboot Processor â€“ The BE shall be able to initiate a reboot of any Backend a physical processor.,Reboot Processor â€“ The BE shall be able to initiate a reboot of any physical processor in the Backend.
1194,2005_swen_561,Default selected characters are the lower case letters a-z and the upper case letters A-Z.,"By default, selected characters shall include lowercase a-z and uppercase A-Z."
444,2005_clarus_low,All systems and application source code shall be available to or on the systems that execute it.,"All application source code shall be either accessible to, or stored on, the systems that execute it."
1446,2005_swen_556,The database server shall check for existing department name and code before adding new department.,"Before adding a new department,  the database server shall check for existing department names and codes."
1447,2005_swen_556,The database server shall check for existing course name and number before adding new course.,"Before adding a new course,  the database server shall check for existing course names and numbers."
787,2002_wasp,Time constraints over contiguous observations should use relative time.,"For contiguous observations, time constraints shall use relative time measurements."
701,2001_hats,[SRSreq 56] Any function of the system which computes a graph automatically shall allow the user to interactively edit the nodes and edges of the computed graph and add title and comment data.,"[SRSreq 56] Any function that automatically computes a graph shall allow the user to: (1) interactively edit the graph's nodes and edges, and (2) add title and comment data to the graph."
1441,2005_swen_556,The database server shall organize all courses by course name and number.,The database server shall organize courses by their name and number.
772,2005_clarus_low,An up arrow key moves the cursor to the closest ancestor that is not hidden.,An up arrow key moves the cursor to the closest ancestor node that is not hidden.
264,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values distributed in time.,The Clarus system shall be able to base the quality checking process on values that are distributed in time.
1421,2005_swen_556,The database server shall update the department name and corresponding code.,The database server shall update department names and their corresponding codes.
1535,2005_swen_556_short,The database server shall check for existing instructor name and department before adding new instructor.,"Before adding a new instructor,  the database server shall check for existing instructor names and departments."
