requirement_id,original,predicted,ground_truth,exact_match,similarity,bleu_1,bleu_2,bleu_3,bleu_4,was_changed,should_change,correct_detection
SCOPE_001,The EMC shall be able to maintain an equipment list for each station.,The EMC shall maintain a separate equipment list for each individual station.,The EMC shall maintain a separate equipment list for each individual station.,True,0.9999999403953552,1.0,1.0,1.0,1.0,True,True,True
SCOPE_002,Each QChS shall produce a unique quality flag value.,Each QChS shall produce a quality flag value that is unique across the entire system.,Each QChS shall produce a quality flag value that is unique across the entire system.,True,1.0,1.0,1.0,1.0,1.0,True,True,True
SCOPE_003,The Clarus system shall allocate each collector to a specific host.,The Clarus system shall allocate a separate host to each individual collector.,The Clarus system shall allocate each collector to exactly one specific host.,False,0.9710550308227539,0.5833333333333334,0.46056618647183833,0.40292365707340405,0.3448444257953326,True,True,True
SCOPE_004,The Clarus system shall allocate each contributor to a specific host.,The Clarus system shall allocate a separate host to each individual contributor.,The Clarus system shall allocate each contributor to exactly one specific host.,False,0.9690382480621338,0.5833333333333334,0.46056618647183833,0.40292365707340405,0.3448444257953326,True,True,True
SCOPE_005,The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.,"The Clarus system shall respond to 95% of all individual requests for environmental data, and shall do so 95% of the time.","The Clarus system shall respond to 95% of environmental data requests, and this 95% response rate shall be achieved during 95% of operational time periods.",False,0.9333457946777344,0.5155831276046595,0.41397461132723906,0.35852313826888577,0.3185739648783928,True,True,True
SCOPE_006,"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.","The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate each shared data element and information item as specified within this Clarus Data Sharing Agreement.","Contributors shall provide the Clarus program with timely notice before changing, altering, replacing, or eliminating any piece of shared data or information specified in this Clarus Data Sharing Agreement.",False,0.9673691987991333,0.5714285714285714,0.44908871313907184,0.3693595292664296,0.3094285625931604,True,True,True
SCOPE_007,"Any reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules.","Any reference in the Clarus Data Sharing Agreement to statutes, regulations, and rules shall be a reference to the amended, substituted, replaced, or re-enacted statute, regulation, or rule individually.","Each reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be interpreted as referring to the current amended, substituted, replaced or re-enacted version of that specific statute, regulation or rule.",False,0.9770323038101196,0.6094568152211364,0.5064275127692492,0.4188637305413725,0.35733069633088255,True,True,True
SCOPE_008,Transfers – The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.,The transfer shall take place in such a manner that data needed to perform a single Fourier Transform shows up on a single processor.,Data transfers shall ensure that all data required for each specific Fourier Transform operation is located on a single processor before that operation begins.,False,0.8630598783493042,0.3333333333333333,0.20851441405707477,0.12812395299555493,0.05538696232597745,True,True,True
SCOPE_009,Each QChS shall produce a unique quality value.,Each QChS shall produce a quality value that is unique across the entire system.,Each QChS shall produce a quality value that is unique within that QChS instance.,False,0.9222926497459412,0.7142857142857143,0.7032108464077431,0.6933720874183437,0.6767781116542884,True,True,True
SCOPE_010,Fourier Transform Processing – The BE shall be able to perform Fourier Transform the lag set time series. A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used. This process must be able to accept as input the output of any of the time domain processes.,"The BE shall perform a power-of-two complex-to-complex Fast Fourier Transform on the lag set time series, retaining all output positive and negative frequencies, and accept as input the output of each individual time domain process.","The Fourier Transform processing shall accept as input the output from each individual time domain process, processing them separately. The BE shall use a power-of-two complex-to-complex Fast Fourier Transform retaining all positive and negative frequencies.",False,0.7851094007492065,0.6857142857142857,0.5855400437691199,0.48880691657030756,0.38260294162784475,True,True,True
SCOPE_011,Start Process – The BE shall be able to initiate a processing task on any Backend processor.,The BE shall initiate a processing task on each individual Backend processor.,"The BE shall be able to initiate a processing task on any available Backend processor, with the system selecting an appropriate processor based on current load.",False,0.8626292943954468,0.2335524179359483,0.1991741712421164,0.17135762925255937,0.13598466352073388,True,True,True
SCOPE_012,Stop Process – The BE shall be able to signal a kill for any Backend process.,The BE shall signal a kill for each individual Backend process.,The BE shall be able to signal termination for any individual Backend process currently running in the system.,False,0.7743582129478455,0.3367721264091229,0.23122995200084864,0.1483896249917507,0.067531175978468,True,True,True
SCOPE_013,Reboot Processor – The BE shall be able to initiate a reboot of any Backend a physical processor.,The BE shall be able to initiate a reboot of each individual Backend or a physical processor.,The BE shall be able to initiate a reboot of any individual physical Backend processor.,False,0.9635041952133179,0.8235294117647058,0.6806139097297726,0.6304114924514505,0.5928469546834189,True,True,True
SCOPE_014,Reboot network – The BE shall be able to initiate a reboot of any internal network.,The BE shall initiate a reboot of each individual internal network.,The BE shall be able to initiate a reboot of any individual internal network component within the system.,False,0.8776451349258423,0.4329927339545866,0.3707928248345826,0.2912132457342316,0.200137394907087,True,True,True
SCOPE_015,Output Data Queue – a memory buffer plus backup disk storage of all processed spectra. These will be converted to output AIPS++ Measurement Set entities prior to transfer to the e2e. Data entry status queue to track each record in the buffer.,"The Output Data Queue shall maintain a separate memory buffer and backup disk storage for each processed spectrum, and a separate data entry status queue to track each record in the buffer.",The Output Data Queue shall consist of a memory buffer with backup disk storage containing all processed spectra. Each spectrum shall be converted to an AIPS++ Measurement Set entity before transfer to the e2e system. A data entry status queue shall track the processing status of each individual record.,False,0.81611168384552,0.4041604002716132,0.2768449213016896,0.21026722731202102,0.15300200491266008,True,True,True
SCOPE_016,Input Data Queue – Each record in this queue contains all data needed for any correlation process.,Input Data Queue – Each record in this queue contains all data needed for a specific correlation process.,"The Input Data Queue shall contain records, where each individual record contains all data needed for a specific correlation process.",False,0.9527156352996826,0.6959861353000654,0.605268903693996,0.5499704305269772,0.49215761453062656,True,True,True
SCOPE_017,Correlator Control – The BE shall support the management of correlator activities in order to optimize the use of any correlator resource.,The BE shall support the management of correlator activities for each individual correlator in order to optimize its use.,The Correlator Control function shall support management of correlator activities to optimize the use of individual correlator resources based on current system demands.,False,0.7924467325210571,0.5116785694310063,0.37172586262086943,0.2390850640854055,0.16069836319905567,True,True,True
SCOPE_018,Input Data Format – All input data shall arrive in a standard format readable by any backend processor.,All input data shall arrive in a standard format readable by each individual backend processor.,All input data shall arrive in a standard format that is readable by every backend processor in the system.,False,0.9620674252510071,0.612742670691719,0.5492756776280292,0.5013795972615305,0.46721892556281147,True,True,True
SCOPE_019,Pipeline Control – The BE shall be able to configure and control any pipeline running on the system.,The BE shall be able to configure and control each pipeline running on the system.,The BE shall be able to configure and control each individual pipeline currently running on the system.,False,0.9885649681091309,0.8751733190429475,0.8102530495546166,0.7627818000419854,0.7126047597394756,True,True,True
SCOPE_020,"Data Output Control – The BE shall have the capability to start, stop, or abort any data output operation.","The BE shall have the capability to start, stop, or abort each individual data output operation.","The BE shall have the capability to start, stop, or abort each individual data output operation independently.",False,0.9885997176170349,0.8806997463876336,0.8787404564269936,0.8771993614526533,0.8742223609582066,True,True,True
SCOPE_021,Resource monitoring - The BE shall monitor all system resources and report the status of any resource that approaches predefined limits.,The BE shall monitor each system resource and report the status of that resource when it approaches its predefined limits.,The BE shall continuously monitor all system resources and report the status of each individual resource when it approaches its predefined limits.,False,0.9577361345291138,0.8143536762323635,0.682190440043271,0.5974090594923601,0.509220845645248,True,True,True
SCOPE_022,The system shall maintain a log of all user actions and any system events.,The system shall maintain a separate log for user actions and a separate log for system events.,The system shall maintain a comprehensive log containing all user actions and each individual system event as they occur.,False,0.906047523021698,0.5229469208251621,0.41753963258034626,0.34902648815689147,0.26916574623990996,True,True,True
SCOPE_023,Each user shall have access to any file they are authorized to view.,Each user shall have access to a file they are authorized to view.,Each user shall have access to every file for which they have been granted viewing authorization.,False,0.9298264980316162,0.48856778942643153,0.40201836499596716,0.362866676642695,0.32468272701011225,True,True,True
SCOPE_024,The system shall backup all critical data to any available storage device.,The system shall backup each critical data item to a designated storage device.,The system shall backup all critical data to any available storage device that meets the backup requirements.,False,0.8855400681495667,0.4523947572871905,0.3329535261284078,0.24832452676285272,0.18167141601754655,True,True,True
SCOPE_025,Any administrator can modify all user permissions simultaneously.,Any administrator can modify each user's permissions individually.,Each administrator can modify all user permissions through a single batch operation.,False,0.8827553987503052,0.37908166232039586,0.25630598383971304,0.1901782284380032,0.09473826754214426,True,True,True
SCOPE_026,The application shall validate all input from any external source.,The application shall validate each input from any external source individually.,The application shall validate all input received from each individual external source.,False,0.9579101204872131,0.6640732482052818,0.42650876612332295,0.3363323777291887,0.2547696540824902,True,True,True
SCOPE_027,Each transaction shall be logged to any available audit trail.,Each transaction shall be logged to a separate audit trail for each available audit trail.,Each transaction shall be logged to any configured audit trail that is available at that time.,False,0.9170545339584351,0.5613041910189707,0.47438862523663106,0.4050261827377857,0.3508365347103021,True,True,True
SCOPE_028,The system shall notify all users of any security breach immediately.,The system shall notify all registered users of any security breach immediately.,The system shall immediately notify every user in the system when any security breach is detected.,False,0.9215710163116455,0.4179765978347104,0.33001009319863855,0.25255026253490376,0.10557912764457274,True,True,True
SCOPE_029,Any error in all system modules shall trigger appropriate recovery procedures.,Any error in each system module shall trigger appropriate recovery procedures.,Each error occurring in any system module shall trigger appropriate recovery procedures specific to that module.,False,0.9652522206306458,0.577033108127529,0.4279392063499488,0.374432641450694,0.33300437133905775,True,True,True
SCOPE_030,The database shall replicate all changes to any backup server.,The database shall replicate each change to any backup server individually.,The database shall replicate all changes to every configured backup server in real-time.,False,0.8967188596725464,0.5305700387751149,0.4206491735743759,0.3231318757244649,0.24177037175577334,True,True,True
SCOPE_031,Each sensor shall report all readings to any monitoring station.,Each sensor shall report its own readings to any monitoring station.,Each sensor shall report all its readings to every designated monitoring station in the network.,False,0.8776654601097107,0.50555922065373,0.37493275273494553,0.28154933833614426,0.20841953947969766,True,True,True
SCOPE_032,The system shall compress all files before storing them in any archive location.,The system shall compress each file before storing it in any archive location.,The system shall compress all files before storing them in each designated archive location.,False,0.9643347263336182,0.7122777528017816,0.5242222319292262,0.3624115487306298,0.25583703386194817,True,True,True
SCOPE_033,Any maintenance operation shall not affect all running processes.,The maintenance operation shall not affect any running process.,Each maintenance operation shall be designed to avoid disrupting any currently running processes.,False,0.7399990558624268,0.35621132690553037,0.23895382239484972,0.17586448849887806,0.0864638926009796,True,True,True
SCOPE_034,The firewall shall block all unauthorized access from any external network.,The firewall shall block each unauthorized access attempt from any external network.,The firewall shall block unauthorized access attempts from each individual external network connection.,False,0.9586021900177002,0.6900333109719925,0.48047752522141435,0.35232147842528516,0.256707056599418,True,True,True
SCOPE_035,Each report shall be generated from all data available in any connected database.,Each report shall be generated from all data available in the connected database associated with it.,Each report shall be generated using all relevant data available across every connected database.,False,0.9578722715377808,0.5625,0.4330127018922193,0.3461929201608134,0.2803950119994003,True,True,True
SCOPE_036,The system shall automatically update all software components when any new version is available.,The system shall automatically update each software component when any new version is available.,The system shall automatically update each software component when a new version of that specific component becomes available.,False,0.9800251126289368,0.6441233940645307,0.5788846664194806,0.5295106331022965,0.4953621207608984,True,True,True
SCOPE_037,Any user with administrative privileges can access all system logs.,Each user with administrative privileges can access their own individual system logs.,Each user with administrative privileges can access every system log in the centralized logging system.,False,0.9251251220703125,0.5192005220476033,0.46963454252414893,0.4437176374959119,0.4152312948102932,True,True,True
SCOPE_038,The monitoring system shall track all performance metrics for any active service.,The monitoring system shall track each performance metric for every active service individually.,The monitoring system shall track all performance metrics for each individual active service separately.,False,0.9657792448997498,0.7122777528017816,0.5242222319292262,0.4142973392130546,0.3367004718165569,True,True,True
SCOPE_039,Each backup operation shall verify all data integrity across any storage medium.,Each backup operation shall verify data integrity across its respective storage medium.,Each backup operation shall verify data integrity for all backed-up data on every storage medium used.,False,0.9529492855072021,0.47768754038252614,0.4320846377663406,0.4082399340506326,0.38203123356951213,True,True,True
SCOPE_040,The system shall synchronize all configuration changes with any connected node.,The system shall synchronize each configuration change with every connected node.,The system shall synchronize all configuration changes with every connected node in the network.,False,0.9593818187713623,0.5536730085068172,0.4590814064410916,0.3794252660887135,0.2670976496992394,True,True,True
SCOPE_041,Any alarm condition shall notify all relevant personnel immediately.,Any alarm condition shall notify each relevant personnel member immediately.,Each alarm condition shall immediately notify every person designated as relevant for that specific alarm type.,False,0.7961583137512207,0.32928698165641584,0.20039767527334307,0.14211286608136464,0.06817277747550336,True,True,True
SCOPE_042,The application shall cache all frequently accessed data in any available memory pool.,The application shall cache each user's frequently accessed data in any available memory pool allocated to the current system.,The application shall cache frequently accessed data in every available memory pool to optimize performance.,False,0.9027887582778931,0.631578947368421,0.5298129428260175,0.4390690748074934,0.3187271473320672,True,True,True
SCOPE_043,Each authentication attempt shall be verified against all configured security providers.,Each authentication attempt shall be verified against a separate list of configured security providers for each user.,Each authentication attempt shall be verified against every configured security provider in sequence.,False,0.9353177547454834,0.5294117647058824,0.4812667109398109,0.4294618879164086,0.38538569180303145,True,True,True
SCOPE_044,The system shall distribute all processing tasks evenly across any available processor.,The system shall distribute each processing task evenly across any available processor.,The system shall distribute all processing tasks evenly across every available processor using load balancing algorithms.,False,0.9187070727348328,0.47768754038252614,0.35279562940761217,0.26392781771534324,0.19412258059457368,True,True,True
SCOPE_045,Any configuration change shall be propagated to all affected system components.,Any configuration change shall be propagated to each individual affected system component.,Each configuration change shall be propagated to every system component that is affected by that specific change.,False,0.9480573534965515,0.49443047265033274,0.3849136009195669,0.341581621066237,0.30439554757021986,True,True,True
SCOPE_046,The database shall maintain all foreign key relationships with any referenced table.,The database shall maintain a separate foreign key relationship with each referenced table.,The database shall maintain all foreign key relationships with every table that is referenced by those keys.,False,0.8905712366104126,0.4523947572871905,0.3329535261284078,0.24832452676285272,0.18167141601754655,True,True,True
SCOPE_047,Each quality check shall examine all data points from any measurement source.,Each quality check shall examine all data points from a single measurement source.,Each quality check shall examine all data points received from every configured measurement source.,False,0.9059157371520996,0.7835055280819597,0.6954593800287637,0.6275830753671182,0.5799150677091909,True,True,True
SCOPE_048,The system shall archive all completed transactions to any designated storage location.,The system shall archive each completed transaction to its designated storage location.,The system shall archive all completed transactions to every storage location designated for archival purposes.,False,0.8931275606155396,0.5192005220476033,0.3320817696982678,0.26088348693472346,0.19635075643117936,True,True,True
SCOPE_049,Any network failure shall trigger all configured redundancy mechanisms.,Any network failure shall trigger each configured redundancy mechanism individually.,Each network failure shall trigger every redundancy mechanism configured for that specific network component.,False,0.9376399517059326,0.5362560368285115,0.39970165056439416,0.3015795402687361,0.22501919497276282,True,True,True
SCOPE_050,The application shall validate all user inputs against any defined business rule.,The application shall validate each user input against every defined business rule.,The application shall validate all user inputs against every business rule defined for the relevant data type.,False,0.9299535155296326,0.49443047265033274,0.34427719084815084,0.25244937067936457,0.18393864369872084,True,True,True
SCOPE_051,Each data export operation shall include all records matching any specified criteria.,Each data export operation shall include every record that matches at least one specified criterion.,Each data export operation shall include all records that match every criterion specified for that export.,False,0.9699834585189819,0.5613041910189707,0.43305558510994563,0.3813759370293565,0.3352042383309152,True,True,True
SCOPE_052,The system shall maintain all audit records for any regulatory compliance requirement.,The system shall maintain separate audit records for each regulatory compliance requirement.,The system shall maintain all audit records required for every applicable regulatory compliance standard.,False,0.8627771139144897,0.6348612936679605,0.4942388468095259,0.3489218907390653,0.24973194725900547,True,True,True
SCOPE_053,Any system restart shall preserve all active sessions across any connected client.,The system shall preserve all active sessions across each connected client during any system restart.,Each system restart shall preserve all active sessions for every client currently connected to the system.,False,0.9715357422828674,0.6236713233544118,0.40828872114926745,0.33361315872783437,0.27369311450967493,True,True,True
SCOPE_054,The monitoring dashboard shall display all critical metrics from any monitored system.,The monitoring dashboard shall display all critical metrics from each monitored system.,The monitoring dashboard shall display all critical metrics collected from every system being monitored.,False,0.9819507598876953,0.6348612936679605,0.5847912899264608,0.5602740178985922,0.5345999665313225,True,True,True
SCOPE_055,Each data transformation shall apply all configured rules to any input record.,Each data transformation shall apply each configured rule to each input record individually.,Each data transformation shall apply every configured transformation rule to each individual input record.,False,0.9362128973007202,0.7122777528017816,0.5742566831466842,0.48380654400539114,0.37868117902707676,True,True,True
SCOPE_056,The system shall encrypt all sensitive data before transmission to any external system.,"The system shall encrypt all sensitive data before transmission to any external system, including data transmitted to external systems.",The system shall encrypt all sensitive data before transmission to each individual external system.,False,0.9568156003952026,0.5789473684210527,0.5380275868489703,0.5179675479292253,0.4940911248125205,True,True,True
SCOPE_057,Any performance degradation shall trigger all appropriate alerting mechanisms.,"Any performance degradation shall trigger all relevant alerting mechanisms, including email notifications, system logs, and dashboard warnings.",Each instance of performance degradation shall trigger every alerting mechanism configured for that performance metric.,False,0.8683786392211914,0.29411764705882354,0.23483410915693106,0.1976660848079421,0.1513851459876605,True,True,True
SCOPE_058,The backup system shall verify all restored data against any original source.,The backup system shall verify each restored data item against its corresponding original source.,The backup system shall verify all restored data against every original source from which it was backed up.,False,0.9398254156112671,0.4830925455483981,0.37366844540291405,0.29989735586298927,0.2446783107907241,True,True,True
SCOPE_059,Each workflow shall execute all defined steps in any specified sequence.,"Each workflow shall execute each defined step in the specified sequence, allowing for any sequence of steps.",Each workflow shall execute all defined steps in the exact sequence specified for that particular workflow.,False,0.9347500801086426,0.5882352941176471,0.3834824944236852,0.273213303111183,0.1934529902282619,True,True,True
SCOPE_060,The system shall replicate all database changes to any standby server immediately.,The system shall replicate each database change to every standby server immediately.,The system shall immediately replicate all database changes to every configured standby server.,False,0.958100438117981,0.6133629430862155,0.3923082565559,0.24518229486004753,0.10968758973515394,True,True,True
SCOPE_061,Any security incident shall be reported to all designated authorities within any required timeframe.,Any security incident shall be reported to all designated authorities within the specified timeframe for each incident.,Each security incident shall be reported to every designated authority within the specific timeframe required for that incident type.,False,0.9342609643936157,0.6275363049901946,0.4573917508333492,0.3706706492121424,0.31177258041697303,True,True,True
SCOPE_062,The application shall process all queued messages from any connected system.,The application shall process each connected system's queued messages individually.,The application shall process all queued messages received from each individual connected system.,False,0.9731124639511108,0.5926545765453743,0.44173864011060315,0.33329693739163085,0.24868467029269142,True,True,True
SCOPE_063,Each user interface shall display all relevant information for any current context.,Each user interface shall display all relevant information for the current user session.,Each user interface shall display all information that is relevant to the specific context currently active.,False,0.8087948560714722,0.5496387631047355,0.4264048680752655,0.37724841138205684,0.33438540664479666,True,True,True
SCOPE_064,The system shall maintain all transaction logs across any system restart.,"The system shall maintain separate transaction logs for each system instance, and each log shall be preserved across any system restart.",The system shall maintain all transaction logs through every system restart that occurs.,False,0.8831209540367126,0.3333333333333333,0.25819888974716115,0.19464403309995135,0.14051676978912422,True,True,True
