gt_original,gt_fixed,gt_explanation,pred_original,pred_fixed,pred_explanation,was_changed,approach,requirement_id,similarity_score,exact_match,bleu_1,bleu_2,bleu_3,bleu_4,semantic_similarity,gt_is_ambiguous,pred_is_ambiguous,correct_prediction
The Clarus system shall be able to base its quality checking process on historical environmental data.,The Clarus system shall be able to base the Clarus system's quality checking process on historical environmental data.,'its' could ambiguously refer to either 'Clarus system' or 'quality checking process'. Explicitly repeating 'Clarus system's' removes ambiguity.,The Clarus system shall be able to base its quality checking process on historical environmental data.,The Clarus system shall be able to base its quality checking process on historical environmental data.,No changes made - no ambiguous pronouns detected,False,few-shot,1,1.0000002,False,0.7889161716922352,0.7606753700913703,0.7303879519810962,0.694256674527868,0.98235667,True,False,False
The Clarus system shall be able to use multiple algorithms for its quality checking process.,The Clarus system shall be able to use multiple algorithms for the Clarus system's quality checking process.,'its' is replaced with 'the Clarus system's' to clarify the antecedent.,The Clarus system shall be able to use multiple algorithms for its quality checking process.,The Clarus system shall be able to use multiple algorithms for its quality checking process.,No changes made - no ambiguous pronouns detected,False,few-shot,2,1.0,False,0.7772147982941253,0.7472767486130323,0.7149058172242594,0.6759531227215545,0.9869677,True,False,False
The CAS shall be configurable to allow new observation types to be implemented as they become available.,The CAS shall be configurable to allow new observation types to be implemented as the new observation types become available.,'they' could refer to either 'observation types' or other system components. Repeating 'new observation types' clarifies.,The CAS shall be configurable to allow new observation types to be implemented as they become available.,The CAS shall be configurable to allow new observation types to be implemented as they become available.,No changes made - no ambiguous pronouns detected,False,few-shot,3,1.0000002,False,0.799454962396691,0.7727285587307858,0.744268240526361,0.7105644469134592,0.9886878,True,False,False
The Clarus system shall record statistics about its operation.,The Clarus system shall record statistics about the Clarus system's operation.,'its' is made explicit by repeating 'the Clarus system's'.,The Clarus system shall record statistics about its operation.,The Clarus system shall record statistics about its operation.,No changes made - no ambiguous pronouns detected,False,few-shot,4,0.99999994,False,0.666736398613546,0.6198129921724927,0.5639419664458528,0.523837587470595,0.97897625,True,False,False
CS shall collect environmental data based on its configured schedule.,CS shall collect environmental data based on CS's configured schedule.,'its' is replaced with 'CS's' to explicitly reference the system.,CS shall collect environmental data based on its configured schedule.,CS shall collect environmental data based on its configured schedule.,No changes made - no ambiguous pronouns detected,False,few-shot,5,1.0,False,0.8300915602566021,0.7786949072647974,0.7190658730571503,0.6407117598241614,0.9906201,True,False,False
CS shall be able to be implemented to collect new observation types as they become available.,CS shall be able to be implemented to collect new observation types as the new observation types become available.,'they' is replaced with 'the new observation types' for clarity.,CS shall be able to be implemented to collect new observation types as they become available.,CS shall be able to be implemented to collect new observation types as they become available.,No changes made - no ambiguous pronouns detected,False,few-shot,6,1.0,False,0.7889161716922352,0.7606753700913703,0.7303879519810962,0.694256674527868,0.9863597,True,False,False
CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,CS shall be able to dynamically adjust CS's retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,'its' is replaced with 'CS's' for explicit reference.,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,No changes made - no ambiguous pronouns detected,False,few-shot,7,1.0,False,0.91582496076106,0.8928298693896481,0.8689502316404044,0.841354400365363,0.9899518,True,False,False
The Clarus system shall process data as they are received.,The Clarus system shall process data as the data are received.,'they' is replaced with 'the data' to avoid ambiguity with other plural nouns.,The Clarus system shall process data as they are received.,The Clarus system shall process data as they are received.,No changes made - no ambiguous pronouns detected,False,few-shot,8,1.0000001,False,0.8300915602566021,0.7786949072647974,0.7190658730571503,0.6407117598241614,0.98723334,True,False,False
CS shall process environmental data as they are received.,CS shall process environmental data as the environmental data are received.,'they' is replaced with 'the environmental data' for precision.,CS shall process environmental data as they are received.,CS shall process environmental data as they are received.,No changes made - no ambiguous pronouns detected,False,few-shot,9,1.0000001,False,0.7368576777701837,0.6849992935944881,0.6232522607983493,0.5387551338654779,0.979861,True,False,False
The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,The Clarus system shall be able to communicate with environmental sensor stations through the Clarus system's collector using the NTCIP ESS 1204.,'its' is replaced with 'the Clarus system's' to clarify ownership.,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,No changes made - no ambiguous pronouns detected,False,few-shot,10,1.0,False,0.8255979997620778,0.8025729836373331,0.7784601696286473,0.7503721585560761,0.9911592,True,False,False
The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,The Clarus system shall be able to communicate with RWIS databases through the RWIS databases' native interfaces.,'their' is replaced with 'the RWIS databases'' to specify which interfaces.,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,No changes made - no ambiguous pronouns detected,False,few-shot,11,1.0000001,False,0.7772147982941253,0.7472767486130323,0.7149058172242594,0.6759531227215545,0.9924706,True,False,False
CS shall be able to accept data from an RWIS database in its native output format.,CS shall be able to accept data from an RWIS database in the RWIS database's native output format.,'its' is replaced with 'the RWIS database's' for clarity.,CS shall be able to accept data from an RWIS database in its native output format.,CS shall be able to accept data from an RWIS database in its native output format.,No changes made - no ambiguous pronouns detected,False,few-shot,12,1.0000001,False,0.7889161716922352,0.7606753700913703,0.7303879519810962,0.694256674527868,0.9884951,True,False,False
The Clarus system shall be able to communicate with an individual ESS through its native interface.,The Clarus system shall be able to communicate with an individual ESS through the ESS's native interface.,'its' is replaced with 'the ESS's' to specify the interface belongs to ESS.,The Clarus system shall be able to communicate with an individual ESS through its native interface.,The Clarus system shall be able to communicate with an individual ESS through its native interface.,No changes made - no ambiguous pronouns detected,False,few-shot,13,1.0000001,False,0.8367150733202594,0.8067632162916414,0.7746407422264177,0.7363203407082369,0.9920037,True,False,False
The DOG shall be able to monitor new environmental data services as they are added.,The DOG shall be able to monitor new environmental data services as the new environmental data services are added.,'they' is replaced with 'the new environmental data services' to avoid ambiguity.,The DOG shall be able to monitor new environmental data services as they are added.,The DOG shall be able to monitor new environmental data services as they are added.,No changes made - no ambiguous pronouns detected,False,few-shot,14,1.0,False,0.730125734129442,0.7020015391838644,0.6715918633818124,0.6349991933341887,0.9840454,True,False,False
The DOG shall be able to record its activities.,The DOG shall be able to record the DOG's activities.,'its' is replaced with 'the DOG's' for explicit reference.,The DOG shall be able to record its activities.,The DOG shall be able to record its activities.,No changes made - no ambiguous pronouns detected,False,few-shot,15,0.99999994,False,0.7368576777701837,0.6849992935944881,0.6232522607983493,0.5789300674674098,0.98109937,True,False,False
The EMC shall be configurable to allow new observation types to be implemented as they become available.,The EMC shall be configurable to allow new observation types to be implemented as the new observation types become available.,'they' is replaced with 'the new observation types' for precision.,The EMC shall be configurable to allow new observation types to be implemented as they become available.,The EMC shall be configurable to allow new observation types to be implemented as they become available.,No changes made - no ambiguous pronouns detected,False,few-shot,16,1.0000001,False,0.799454962396691,0.7727285587307858,0.744268240526361,0.7105644469134592,0.9898746,True,False,False
The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as they become available.,The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as the new observation types become available.,'they' is replaced with 'the new observation types' to specify what becomes available.,The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as they become available.,The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as they become available.,No changes made - no ambiguous pronouns detected,False,few-shot,17,1.0,False,0.8395522666177397,0.8184722765441914,0.796581407811232,0.7712838414761665,0.9943973,True,False,False
The QEDC shall be configurable to allow new observation types to be implemented as they become available.,The QEDC shall be configurable to allow new observation types to be implemented as the new observation types become available.,'they' is replaced with 'the new observation types' for clarity.,The QEDC shall be configurable to allow new observation types to be implemented as they become available.,The QEDC shall be configurable to allow new observation types to be implemented as they become available.,No changes made - no ambiguous pronouns detected,False,few-shot,18,1.0000001,False,0.799454962396691,0.7727285587307858,0.744268240526361,0.7105644469134592,0.9902431,True,False,False
The QEDC shall maintain observations and their associated quality flags for seven days.,The QEDC shall maintain observations and the observations' associated quality flags for seven days.,'their' is replaced with 'the observations'' to specify what has flags.,The QEDC shall maintain observations and their associated quality flags for seven days.,The QEDC shall maintain observations and their associated quality flags for seven days.,No changes made - no ambiguous pronouns detected,False,few-shot,19,1.0000001,False,0.8049580497680259,0.7684051304872667,0.7280571686408656,0.6783686168526631,0.9892427,True,False,False
The QEDC shall support queries for its observations.,The QEDC shall support queries for the QEDC's observations.,'its' is replaced with 'the QEDC's' for explicit reference.,The QEDC shall support queries for its observations.,The QEDC shall support queries for its observations.,No changes made - no ambiguous pronouns detected,False,few-shot,20,1.0000001,False,0.7117665803704959,0.6537993517025207,0.5823411014786364,0.528993443482769,0.9802246,True,False,False
The QEDC shall support queries against all of its available observation datasets.,The QEDC shall support queries against all of the QEDC's available observation datasets.,'its' is replaced with 'the QEDC's' to clarify ownership.,The QEDC shall support queries against all of its available observation datasets.,The QEDC shall support queries against all of its available observation datasets.,No changes made - no ambiguous pronouns detected,False,few-shot,21,1.0,False,0.7914497715327151,0.751992983084941,0.7078549406347581,0.6526220818377341,0.98771405,True,False,False
QEDS shall be able to disseminate new observation types as they become available.,QEDS shall be able to disseminate new observation types as the new observation types become available.,'they' is replaced with 'the new observation types' to avoid ambiguity.,QEDS shall be able to disseminate new observation types as they become available.,QEDS shall be able to disseminate new observation types as they become available.,No changes made - no ambiguous pronouns detected,False,few-shot,22,0.99999994,False,0.7494664793621474,0.7154334167303069,0.6778669312182047,0.6316037700708138,0.98404247,True,False,False
QEDS shall log their activities.,QEDS shall log QEDS's activities.,'their' is replaced with 'QEDS's' to specify what is being logged.,QEDS shall log their activities.,QEDS shall log their activities.,No changes made - no ambiguous pronouns detected,False,few-shot,23,1.0,False,0.7054014374088451,0.5985529678206387,0.4261847354500941,0.21506254256566312,0.9637521,True,False,False
The Clarus system shall be able to base its quality checking process on values from multiple observations.,The Clarus system shall be able to base the Clarus system's quality checking process on values from multiple observations.,'its' is replaced with 'the Clarus system's' for clarity.,The Clarus system shall be able to base its quality checking process on values from multiple observations.,The Clarus system shall be able to base its quality checking process on values from multiple observations.,No changes made - no ambiguous pronouns detected,False,few-shot,24,1.0000001,False,0.799454962396691,0.7727285587307858,0.744268240526361,0.7105644469134592,0.9823768,True,False,False
The Clarus system shall be able to base its quality checking process on values distributed in time.,The Clarus system shall be able to base the Clarus system's quality checking process on values distributed in time.,'its' is replaced with 'the Clarus system's' to specify ownership.,The Clarus system shall be able to base its quality checking process on values distributed in time.,The Clarus system shall be able to base its quality checking process on values distributed in time.,No changes made - no ambiguous pronouns detected,False,few-shot,25,1.0000001,False,0.799454962396691,0.7727285587307858,0.744268240526361,0.7105644469134592,0.9798932,True,False,False
QChS shall be able to base its quality checking process on values distributed in time.,QChS shall be able to base QChS's quality checking process on values distributed in time.,'its' is replaced with 'QChS's' for explicit reference.,QChS shall be able to base its quality checking process on values distributed in time.,QChS shall be able to base its quality checking process on values distributed in time.,No changes made - no ambiguous pronouns detected,False,few-shot,26,1.0,False,0.8806997463876336,0.8467754917036652,0.8100944208761448,0.7659552353576201,0.98780715,True,False,False
QChS shall be able to use historical environmental data in their quality checking algorithms.,QChS shall be able to use historical environmental data in QChS's quality checking algorithms.,'their' is replaced with 'QChS's' to clarify which algorithms.,QChS shall be able to use historical environmental data in their quality checking algorithms.,QChS shall be able to use historical environmental data in their quality checking algorithms.,No changes made - no ambiguous pronouns detected,False,few-shot,27,1.0000001,False,0.8731398526961766,0.8367428847826303,0.7970130344974683,0.7487052499824418,0.9877335,True,False,False
QChS shall be implemented to quality check new observation types as they become available.,QChS shall be implemented to quality check new observation types as the new observation types become available.,'they' is replaced with 'the new observation types' for precision.,QChS shall be implemented to quality check new observation types as they become available.,QChS shall be implemented to quality check new observation types as they become available.,No changes made - no ambiguous pronouns detected,False,few-shot,28,1.0000001,False,0.7641487028727831,0.7322950476607851,0.6975245427216406,0.6552468586120134,0.98974866,True,False,False
