requirement_id,project_name,original_requirement,fixed_requirement,was_changed,ambiguity_type
11,2005_clarus_low,The Clarus system shall be able to base its quality checking process on historical environmental data.,The Clarus system shall be able to base the Clarus system's quality checking process on historical environmental data.,True,Unknown
13,2005_clarus_low,The Clarus system shall be able to use multiple algorithms for its quality checking process.,The Clarus system shall be able to use multiple algorithms for the Clarus system's quality checking process.,True,Anaphoric ambiguity
15,2005_clarus_low,The CAS shall be configurable to allow new observation types to be implemented as they become available.,The CAS shall be configurable to allow new observation types to be implemented as new observation types become available.,True,Anaphoric
22,2005_clarus_low,The Clarus system shall record statistics about its operation.,The Clarus system shall record statistics about the Clarus system.,True,Anaphoric
55,2005_clarus_low,CS shall collect environmental data based on its configured schedule.,CS shall collect environmental data based on the CS's configured schedule.,True,Unknown
70,2005_clarus_low,CS shall be able to be implemented to collect new observation types as they become available.,CS shall be able to be implemented to collect new observation types as new observation types become available.,True,Unknown
77,2005_clarus_low,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,CS shall be able to dynamically adjust CS's retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,True,Unknown
78,2005_clarus_low,The Clarus system shall process data as they are received.,The Clarus system shall process the data as they are received.,True,Unknown
79,2005_clarus_low,CS shall process environmental data as they are received.,CS shall process environmental data as the data are received.,True,Anaphoric
114,2005_clarus_low,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,The Clarus system shall be able to communicate with environmental sensor stations through the collector using the NTCIP ESS 1204.,True,Anaphoric Ambiguity
116,2005_clarus_low,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,The Clarus system shall be able to communicate with RWIS databases through the Clarus system's native interfaces.,True,Unknown
117,2005_clarus_low,CS shall be able to accept data from an RWIS database in its native output format.,CS shall be able to accept data from the RWIS database in its native output format.,True,Unknown
118,2005_clarus_low,The Clarus system shall be able to communicate with an individual ESS through its native interface.,The Clarus system shall be able to communicate with an individual ESS through its native interface.,False,Unknown
131,2005_clarus_low,The DOG shall be able to monitor new environmental data services as they are added.,The DOG shall be able to monitor new environmental data services as they are added to the system.,True,Anaphoric ambiguity
132,2005_clarus_low,The DOG shall be able to record its activities.,The DOG shall be able to record the DOG's activities.,True,Anaphoric ambiguity
