,Name_of_Project,Description,Structural_sbard,Vague_both,Anaphoric_taphsir
0,2005_clarus_low,The Clarus system shall implement quality checking processes as soon as data become available.,1,1,0
1,2005_clarus_low,The CAS shall be able to configure schedules for executing QChS.,1,0,0
2,2005_clarus_low,The Clarus system shall record the methods applied when deriving quality checking information.,1,0,0
3,2005_clarus_low,The CAS shall record the quality checking methods used.,1,0,0
4,2005_clarus_low,The Clarus system shall be able to implement quality checking rules for each environmental parameter.,1,0,0
5,2005_clarus_low,The CAS shall be able to configure the quality checking rules for each environmental parameter.,1,0,0
6,2005_clarus_low,The CAS shall enable administrators to manage quality checking rules.,1,0,0
7,2005_clarus_low,The Clarus system shall be able to implement quality checking rules for specific environmental situations.,1,1,0
8,2005_clarus_low,The CAS shall be able to configure quality checking rules for specific environmental situations.,1,1,0
9,2005_clarus_low,The Clarus system shall be able to implement quality checking rules specific to observation locations.,0,1,0
10,2005_clarus_low,The CAS shall be able to configure quality checking rules specific to observation locations.,0,1,0
11,2005_clarus_low,The Clarus system shall be able to base its quality checking process on historical environmental data.,1,0,1
12,2005_clarus_low,The CAS shall be able to configure historical environmental data to be used by quality checking processes.,1,0,0
13,2005_clarus_low,The Clarus system shall be able to use multiple algorithms for its quality checking process.,1,0,1
14,2005_clarus_low,The CAS shall be able to configure multiple algorithms to be used in the quality checking process.,1,0,0
15,2005_clarus_low,The CAS shall be configurable to allow new observation types to be implemented as they become available.,0,1,1
16,2005_clarus_low,The Clarus system shall enable administrators to manage security groups.,1,0,0
17,2005_clarus_low,The CAS system shall enable administrators to manage security group members.,1,0,0
20,2005_clarus_low,The Clarus system shall be able to restrict environmental data publication based on source.,1,0,0
21,2005_clarus_low,The CAS shall be able to record data sharing restrictions.,1,0,0
22,2005_clarus_low,The Clarus system shall record statistics about its operation.,1,0,1
23,2005_clarus_low,The CAS shall record statistics about the system operation.,1,0,0
29,2005_clarus_low,The CAS shall manage quality checking schedules.,1,0,0
32,2005_clarus_low,The Clarus system shall manage environmental data and metadata according to the Clarus data sharing agreements.,1,0,0
33,2005_clarus_low,The CAS shall manage data sharing rules based on contributor data sharing agreements.,1,0,0
36,2005_clarus_low,The Clarus system shall provide environmental data quality flags.,1,0,0
37,2005_clarus_low,The CAUI shall enable a quality manager to apply manual flags to a set of observations from an individual ESS.,1,0,0
38,2005_clarus_low,The CAUI shall enable a quality manager to apply manual flags to a set of observations.,1,0,0
39,2005_clarus_low,The CAUI shall enable a quality manager to apply manual flags to a set of observations over a fixed time range.,1,0,0
40,2005_clarus_low,The CAUI shall enable a quality manager to apply manual flags to a set of observations over a time range with an open ended future time.,1,0,0
42,2005_clarus_low,The CAUI shall allow a quality manager to apply a manual quality flag to environmental data.,1,0,0
44,2005_clarus_low,The Clarus system shall be able to implement quality checking rules specific to each environmental parameter.,0,1,0
45,2005_clarus_low,The CAUI shall enable quality checking rules to be configured specific to each environmental parameter.,1,1,0
46,2005_clarus_low,The CAUI shall enable administrators to acquire environmental metadata.,1,0,0
47,2005_clarus_low,The CAUI shall enable administrators to manage environmental metadata.,1,0,0
48,2005_clarus_low,The Clarus system shall provide a user interface for administration.,1,0,0
49,2005_clarus_low,The CAUI shall enable administrators to manage contributor metadata.,1,0,0
50,2005_clarus_low,The CAUI shall enable administrators to manage collector metadata.,1,0,0
51,2005_clarus_low,The CAUI shall enable administrators to manage quality checking schedules.,1,0,0
52,2005_clarus_low,The CAUI shall enable administrators to manage environmental data collection schedules.,1,0,0
53,2005_clarus_low,The CAUI shall enable administrators to manage contributor data sharing agreements.,1,0,0
54,2005_clarus_low,The CAUI shall enable administrators to assign system privileges.,1,0,0
56,2005_clarus_low,CS shall be able to transform extracted environmental data into the internal storage format.,1,0,0
57,2005_clarus_low,CS shall be able to store transformed environmental data in the QEDC.,1,0,0
58,2005_clarus_low,CS shall be able to convert observation units into the Clarus standard unit specification.,1,0,0
64,2005_clarus_low,CS shall be able to collect in-situ environmental observations from data collectors.,1,0,0
65,2005_clarus_low,The Clarus system shall be able to access remotely sensed environmental observations from data collectors.,1,0,0
66,2005_clarus_low,CS shall be able to retrieve remotely sensed environmental observations from data collectors.,1,0,0
67,2005_clarus_low,The Clarus system shall be able to receive roadway weather measurements derived from VII data.,1,0,0
