requirement_id,project_name,original_requirement,fixed_requirement,was_changed,ambiguity_type
1,2005_clarus_low,The Clarus system shall be able to base its quality checking process on historical environmental data.,The Clarus system shall be able to base its quality checking process on historical environmental data of the Clarus system.,True,Anaphoric ambiguity
2,2005_clarus_low,The Clarus system shall be able to use multiple algorithms for its quality checking process.,The Clarus system shall be able to use multiple algorithms for the Clarus system's quality checking process.,True,Anaphoric ambiguity
3,2005_clarus_low,The CAS shall be configurable to allow new observation types to be implemented as they become available.,The CAS shall be configurable to allow new observation types to be implemented as new observation types become available.,True,Anaphoric ambiguity
4,2005_clarus_low,The Clarus system shall record statistics about its operation.,The Clarus system shall record statistics about the operation of the Clarus system.,True,Anaphoric ambiguity
5,2005_clarus_low,CS shall collect environmental data based on its configured schedule.,CS shall collect environmental data based on the system's configured schedule.,True,Anaphoric ambiguity
6,2005_clarus_low,CS shall be able to be implemented to collect new observation types as they become available.,CS shall be able to be implemented to collect new observation types as they become available.,False,Anaphoric Ambiguity
7,2005_clarus_low,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,CS shall be able to dynamically adjust the retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,True,Anaphoric ambiguity
8,2005_clarus_low,The Clarus system shall process data as they are received.,The Clarus system shall process data as they are received.,False,Anaphoric ambiguity
9,2005_clarus_low,CS shall process environmental data as they are received.,CS shall process environmental data as they are received.,False,Anaphoric ambiguity
10,2005_clarus_low,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,The Clarus system shall be able to communicate with environmental sensor stations through the Clarus system's collector using the NTCIP ESS 1204.,True,Anaphoric ambiguity
11,2005_clarus_low,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,The Clarus system shall be able to communicate with RWIS databases through RWIS's native interfaces.,True,Anaphoric ambiguity
12,2005_clarus_low,CS shall be able to accept data from an RWIS database in its native output format.,CS shall be able to accept data from an RWIS database in the RWIS database's native output format.,True,Anaphoric Ambiguity
13,2005_clarus_low,The Clarus system shall be able to communicate with an individual ESS through its native interface.,The Clarus system shall be able to communicate with an individual ESS through the ESS's native interface.,True,Anaphoric ambiguity
14,2005_clarus_low,The DOG shall be able to monitor new environmental data services as they are added.,The DOG shall be able to monitor new environmental data services as they are added.,False,Anaphoric ambiguity
15,2005_clarus_low,The DOG shall be able to record its activities.,The DOG shall be able to record the DOG's activities.,True,Anaphoric Ambiguity
16,2005_clarus_low,The EMC shall be configurable to allow new observation types to be implemented as they become available.,The EMC shall be configurable to allow new observation types to be implemented as new observation types become available.,True,Anaphoric ambiguity
