requirement_id,original,predicted,ground_truth,exact_match,similarity,bleu_1,bleu_2,bleu_3,bleu_4,was_changed,should_change,correct_detection
SCOPE_001,The EMC shall be able to maintain an equipment list for each station.,The EMC shall maintain a separate equipment list for each individual station.,The EMC shall maintain a separate equipment list for each individual station.,True,0.9999999403953552,1.0,1.0,1.0,1.0,True,True,True
SCOPE_002,Each QChS shall produce a unique quality flag value.,Each QChS shall produce a globally unique quality flag value.,Each QChS shall produce a quality flag value that is unique across the entire system.,False,0.9512532353401184,0.4852245277701068,0.40435377314175563,0.33578620209138016,0.2833335058083107,True,True,True
SCOPE_003,The Clarus system shall allocate each collector to a specific host.,The Clarus system shall allocate a separate host to each individual collector.,The Clarus system shall allocate each collector to exactly one specific host.,False,0.9710550308227539,0.5833333333333334,0.46056618647183833,0.40292365707340405,0.3448444257953326,True,True,True
SCOPE_004,The Clarus system shall allocate each contributor to a specific host.,The Clarus system shall allocate each contributor to a unique host.,The Clarus system shall allocate each contributor to exactly one specific host.,False,0.9772508144378662,0.7470824042309421,0.6910231797107846,0.6645556630053742,0.6381941796682009,True,True,True
SCOPE_005,The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.,The Clarus system shall respond to 95% of all requests for environmental data within 95% of the time intervals.,"The Clarus system shall respond to 95% of environmental data requests, and this 95% response rate shall be achieved during 95% of operational time periods.",False,0.9478375911712646,0.49893517804358184,0.42651494364199255,0.3629684376482659,0.32139003041335484,True,True,True
SCOPE_006,"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.","The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate each contributor's shared data and information as specified within this Clarus Data Sharing Agreement.","Contributors shall provide the Clarus program with timely notice before changing, altering, replacing, or eliminating any piece of shared data or information specified in this Clarus Data Sharing Agreement.",False,0.9782538414001465,0.5882352941176471,0.4624972900628803,0.380445340842136,0.31896056173040127,True,True,True
SCOPE_007,"Any reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules.","Each reference in the Clarus Data Sharing Agreement to statutes, regulations, and rules shall be a reference to the amended, substituted, replaced, or re-enacted statute, regulation, or rule.","Each reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be interpreted as referring to the current amended, substituted, replaced or re-enacted version of that specific statute, regulation or rule.",False,0.9843849539756775,0.6629895778972841,0.5631186464814649,0.4643156045810497,0.3993121824577459,True,True,True
SCOPE_008,Transfers – The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.,The transfer shall take place in such a manner that each processor has all the data needed to perform any Fourier Transform.,Data transfers shall ensure that all data required for each specific Fourier Transform operation is located on a single processor before that operation begins.,False,0.8881051540374756,0.3320366241026409,0.037996420840218356,0.019492458966769603,0.013340889504962646,True,True,True
SCOPE_009,Each QChS shall produce a unique quality value.,Each QChS shall produce a unique quality value for itself.,Each QChS shall produce a quality value that is unique within that QChS instance.,False,0.9467364549636841,0.5362560368285115,0.44688003069042626,0.37110114524246557,0.31313195073576255,True,True,True
SCOPE_010,Fourier Transform Processing – The BE shall be able to perform Fourier Transform the lag set time series. A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used. This process must be able to accept as input the output of any of the time domain processes.,"The BE shall be able to perform Fourier Transform on the lag set time series using a power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies, and accept as input the output of each individual time domain process.","The Fourier Transform processing shall accept as input the output from each individual time domain process, processing them separately. The BE shall use a power-of-two complex-to-complex Fast Fourier Transform retaining all positive and negative frequencies.",False,0.7241309881210327,0.5813953488372093,0.4851048225023752,0.40187630831984156,0.31195562278229916,True,True,True
