ID,Project,Requirement,Fixed_Requirement,Vague
693,2001_hats,[SRSreq 48] The HATS-GUI shall interact with the HOST OS to find files in directories. (This capability is necessary for the HATS-GUI to display file lists.),"[SRSreq 48] The HATS-GUI shall interact with the HOST OS to find files in directories using standard file system APIs for Sun Solaris, Linux, and Windows 2000, and shall be capable of identifying files with extensions .grm, .spec, .sml, .tgt, .tlp, .sty, .txt, and .sdt for display in file lists with file timestamps reported to one second precision as specified in SRSreq 49.",1
695,2001_hats,"[SRSreq 50] The HATS-GUI shall allow a user to create an application minimally consisting of a lexical specification file,  a grammar file,  a user-defined functions file,  and application configuration information. The user shall be able to name this application.","[SRSreq 50] The HATS-GUI shall allow a user to create an application consisting of atleast  one lexical specification file with .spec extension, exactly one grammar file with .grm extension, exactly one user-defined functions file with .lib extension written in ML, and application configuration information, with all files stored in a single directory named with the application name provided by the user as specified in SRSreq 51-55.",1
706,2001_hats,[SRSreq 64] A navigation window shall be available. Navigation windows are discussed in section 3.2.3.3.4.,"[SRSreq 64] A navigation window shall be available that displays a compressed view of the entire SDT when the displayed graph is too large for the main window, with a small box showing the part currently displayed in the main tree display window, and the user shall be able to turn this navigation window on and off as specified in SRSreq 135-136.",1
785,2001_hats,[SRSreq 146] Selected pretty-printed text shall be displayed in a separate window.,"[SRSreq 146] Selected pretty-printed text shall be displayed in a separate window that opens when the user selects to display output, with the window having a close button as specified in SRSreq 63 and the displayed text being copy-and-pasteable to other applications through the host operating system clipboard as specified in SRSreq 128.",1
792,2001_hats,[SRSreq 153] The user shall be able to clear the error window without restarting the HATS-GUI.,"[SRSreq 153] The user shall be able to clear the error window that displays all error messages collected from HATS-SML in order received and accessible via a window tab as specified in SRSreq 151, without restarting the HATS-GUI and without affecting the continued operation of the system as specified in SRSreq 150.",1
586,tachonet,USA-02 The system must be easy to learn and does not obstruct the thematic understanding of the users.,"USA-02 The system must be easy to learn for CIA clerks and enforcers by providing an interface based on end user concepts for card issuing authority operations as specified in USA-01, and must not obstruct the thematic understanding of smart card management workflows including XML message processing for MS2TCN_x_REQ and TCN2MS_x_REQ message types.",1
587,tachonet,USA-03  The system must make it easy to correct mistakes.,USA-03 The system must make it easy to correct mistakes by implementing operator error tolerance as specified in REL-01.,1
593,tachonet,PER-03  The system must be able to establish and keep the dialog with the Members systems despite the various technical environments and technologies used on their sites.,"PER-03 The system must be able to establish and keep the dialog with the Member States systems using TESTA-II network facilities as specified in INT-01 and XML messaging protocols (MS2TCN_x_REQ, TCN2MS_x_RES message types) despite various technical environments and technologies used on Member State sites, by implementing BizTalk Server 2002 messaging management and providing solutions for data encoding problems including different character sets, name truncation rules, and name matching for misspellings as specified in SUP-05.",1
9,2005_clarus_low,The Clarus system shall be able to implement quality checking rules specific to observation location.,"The Clarus system shall be able to implement quality checking rules specific to observation locations through QChS and CAS components, with rules varying from region to region.",1
10,2005_clarus_low,The CAS shall be able to configure quality checking rules specific to observation locations.,"The CAS shall be able to configure quality checking rules specific to observation locations as specified in F163B1, enabling QChS to implement different quality checking rules specific to regional weather patterns based on Task Force review requirements.",1
15,2005_clarus_low,The CAS shall be configurable to allow new observation types to be implemented as they become available.,"The CAS shall be configurable to allow new observation types from NTCIP 1204 environmental data standards (including temperature sensors, pressure height, humidity, wind sensors, precipitation indicators as defined in Table 1) to be implemented as they become available.",1
44,2005_clarus_low,The Clarus system shall be able to implement quality checking rules specific to each environmental parameter.,"The Clarus system shall be able to implement quality checking rules specific to each environmental parameter (temperature, pressure, humidity, wind speed, precipitation rate) through QChS, CAS, and CAUI components using variable-specific tests as specified in F-155 and ConOps §3.5.1.4.",1
119,2005_clarus_low,The Clarus system shall transfer data as efficiently as possible.,"The Clarus system shall transfer data as efficiently as possible through CS, EMS, QEDS, and SS components as specified in I-016, with EMS implementing concurrent data transfer and scheduling services coordinating with F-501 and F-222 requirements as inferred from ConOps §3.2.",1
136,2005_clarus_low,The EMC shall be configurable to allow new observation types to be implemented as they become available.,"The EMC shall be configurable to allow new observation types from NTCIP 1204 environmental data standards to be implemented as they become available, supporting metadata query filtering and comma separated value ASCII format distribution for environmental sensor station data.",1
169,2005_clarus_low,The QEDC shall be configurable to allow new observation types to be implemented as they become available.,"The QEDC shall be configurable to allow new observation types to be implemented as they become available within the qualified environmental data cache, maintaining quality checking services and quality flags application for new environmental data types.",1
173,2005_clarus_low,The Clarus system shall allow service providers to select specific desired data sets.,"The Clarus system shall allow service providers (who are principal Clarus users) to select specific desired data sets through metadata query filtering specifications, with EMS responses including metadata that meets the requested filtering specifications for environmental data from multiple sources.",1
212,2005_clarus_low,The Clarus system shall allow service providers to select specific desired datasets.,"The Clarus system shall allow service providers (who are principal Clarus users) to select specific desired datasets through metadata query filtering specifications, with EMS responses including metadata that meets the requested filtering specifications for environmental data from multiple sources.",1
261,2005_clarus_low,QChS shall be able to implement different quality checking rules specific to regional weather.,"QChS shall be able to implement different quality checking rules specific to regional weather as specified in F-163H1, utilizing spatial tests with data from adjacent environmental sensor stations to accommodate quality checking rule variations from region to region.",1
319,2005_clarus_low,The Clarus Initiative Management Team shall specify the general frequency of policy meetings.,"The Clarus Initiative Management Team shall specify the general frequency of policy meetings for coordinating Clarus program management, system operations, and stakeholder coordination between service providers and agencies.",1
