Description,Scope_ambiguity
The EMC shall be able to maintain an equipment list for each station.,1
Each QChS shall produce a unique quality flag value.,1
The Clarus system shall allocate each collector to a specific host.,1
The Clarus system shall allocate each contributor to a specific host.,1
The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.,1
"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.",1
"Any reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules.",1
Transfers – The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.,1
Each QChS shall produce a unique quality value.,1
Fourier Transform Processing – The BE shall be able to perform Fourier Transform the lag set time series. A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used. This process must be able to accept as input the output of any of the time domain processes.,1
Start Process – The BE shall be able to initiate a processing task on any Backend processor.,1
Stop Process  – The BE shall be able to signal a kill for any Backend process.,1
Reboot Processor – The BE shall be able to initiate a reboot of any Backend a physical processor.,1
Reboot network – The BE shall be able to initiate a reboot of any internal network.,1
Output Data Queue – a memory buffer plus backup disk storage of all processed spectra. These will be converted to output AIPS++ Measurement Set entities prior to transfer to the e2e. Data entry status queue to track each record in the buffer.,1
Loss of M&C – the system shall continue to operate during the absence of the M&C System until the first encounter of unavailable critical auxiliary data. The system will cache a predetermined amount (TBD) of correlator data after the first encounter of unavailable critical data and complete all requested operations on cached data once the unavailable critical data is obtained.,1
"Seamlessness – 3.7.1, above, shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces.",1
Each transaction must be approved by a manager.,1
"All users of the system shall login using some form of unique identification. (e.g., username and password) ",1
"All login attempts shall be done in a secure manner. (e.g., encrypted passwords) ",1
"Each user shall have a set of system access properties that defines the user’s privileges within the system. (e.g., the subsystems a user may control or system tools the user may access). ",1
The MultiMahjongServer will support an architecture whereby all Computer Opponents (CO) required will reside on it instead of on the MultiMahjongClient programs.,1
"When the user begins the MultiMahjongClient program, they will be able to choose to create a new multi player game, to create a new single player game, to join an existing multi player game, or to quit the program. These options will be available at any stage while the program is running as long as there is no game currently being played by the user (see Section 4.4 for more details about quitting).",1
"Users who create a new game will be able to change the ability level of any CO involved in the game. There will be 3 levels available: Beginner, Intermediate and Advanced.",1
"Any user who creates or joins a game will be able to upload their own JPEG or GIF image that they wish to have displayed above their name, if they do not wish to use a preset icon.",1
The MultiMahjongServer will inform all MultiMahjongClients connected to the game that the game has ended. Users of any MultiMahjongClient previously connected to the game will have the choice to quit the program or to begin/join a new game.,1
The CO will not have access to the data containing the faces of any tiles in the wall or any concealed tiles in any other players' hands.,1
The software will run on any machine that is capable of running a Java Virtual Machine that supports JDK 1.2 (see Section 5.3). These machines include: 1- A PC operated under Windows 95/98/NT 2- A Macintosh operated under OS 3- A Unix box operated under Solaris 2.6 or Solaris 7.,1
