,Name_of_Project,Description,Adjust_label_strucutural
100,2005_clarus_low,The Clarus system baseline data types shall be defined by the NTCIP ESS 1204 standard.,0
104,2005_clarus_low,CS shall accept environmental data described by definitions defined by CMML version 2.,0
106,2005_clarus_low,"The Clarus system shall accept only observations that include location, timestamp, and source metadata.",1
109,2005_clarus_low,CS shall accept only observation of identified measurement types and units.,0
112,2005_clarus_low,The Clarus system shall accept data through a Clarus standard interface.,0
113,2005_clarus_low,CS shall implement the Clarus standard interface.,0
114,2005_clarus_low,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,1
142,2005_clarus_low,The EMC shall be able to maintain an equipment list for each station.,0
154,2005_clarus_low,The Clarus system shall minimize the time for data dissemination.,0
172,2005_clarus_low,The QEDC observation types shall be defined by NTCIP ESS 1204.,0
357,2005_clarus_low,The Clarus program shall maintain information about data providers.,0
358,2005_clarus_low,The Clarus program shall maintain metadata about each data provider's network.,0
359,2005_clarus_low,The Clarus program shall maintain information about data provider redistribution restrictions.,1
360,2005_clarus_low,The Clarus program shall maintain information about service providers.,0
361,2005_clarus_low,The Clarus program shall maintain information about service provider communications.,0
362,2005_clarus_low,The Clarus program shall maintain information about service provider access to data.,0
363,2005_clarus_low,The Clarus program shall allow potential weather element data providers to request permission to submit weather information.,1
364,2005_clarus_low,The Clarus system shall accept data only from sources which data sharing agreements have been established.,0
406,2002_evla_back,Start Process – The BE shall be able to initiate a processing task on any Backend processor.,0
407,2002_evla_back,Stop Process  – The BE shall be able to signal a kill for any Backend process.,0
408,2002_evla_back,Alter Priority – The BE shall be able to alter the priority of any of the BE tasks.,0
409,2002_evla_back,Reboot Processor – The BE shall be able to initiate a reboot of any Backend a physical processor.,1
413,2002_evla_back,Input Data Queue – a memory buffer of lag frames. Data entry status queue to track each record in the buffer. The lag frames will contain all information necessary to properly assemble complete lag sets.,1
496,1999_multi_mahjong,The MultiMahjongClient must inform the user if another player is fishing.,0
501,1999_multi_mahjong,Users will be able to turn the sound on or off at any stage during the game.,0
502,1999_multi_mahjong,Users will have access to the User's Documentation online at any stage during the game.,0
505,1999_multi_mahjong,User's will be able to Undo their last move if playing in single player mode.,0
506,1999_multi_mahjong,User's will be able to Save their game if playing in single player mode.,0
507,1999_multi_mahjong,User's will be able to chat with each other in real time.,0
510,1999_multi_mahjong,The user will be able to end the game at any stage of the game. ,0
511,1999_multi_mahjong,The MultiMahjongServer will inform all MultiMahjongClients connected to the game that the game has ended. Users of any MultiMahjongClient previously connected to the game will have the choice to quit the program or to begin/join a new game.,0
522,1999_multi_mahjong,The CO will be able to perform look ahead algorithms to determine its best move in the Intermediate and Advanced levels.,0
525,1999_multi_mahjong,There will be CO's of different playing styles that the user can choose from.,0
529,1999_multi_mahjong,"Prior knowledge of Mahjong rules is not necessary, as the product will be designed for both players with some or no experience.",0
