requirement_id,original,predicted,ground_truth,exact_match,similarity,bleu_1,bleu_2,bleu_3,bleu_4,was_changed,should_change,correct_detection
SCOPE_001,The EMC shall be able to maintain an equipment list for each station.,The EMC shall maintain a separate equipment list for each individual station.,The EMC shall maintain a separate equipment list for each individual station.,True,0.9999999403953552,1.0,1.0,1.0,1.0,True,True,True
SCOPE_002,Each QChS shall produce a unique quality flag value.,Each QChS shall produce a unique quality flag value within its own scope.,Each QChS shall produce a quality flag value that is unique across the entire system.,False,0.9355727434158325,0.5935873286495363,0.5044522286342332,0.43267768624722946,0.34152860179730143,True,True,True
SCOPE_003,The Clarus system shall allocate each collector to a specific host.,The Clarus system shall allocate a separate host to each individual collector.,The Clarus system shall allocate each collector to exactly one specific host.,False,0.9710550308227539,0.5833333333333334,0.46056618647183833,0.40292365707340405,0.3448444257953326,True,True,True
SCOPE_004,The Clarus system shall allocate each contributor to a specific host.,The Clarus system shall allocate each contributor to a separate host.,The Clarus system shall allocate each contributor to exactly one specific host.,False,0.9805140495300293,0.7470824042309421,0.6910231797107846,0.6645556630053742,0.6381941796682009,True,True,True
SCOPE_005,The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.,The Clarus system shall respond to 95% of all requests for environmental data within 95% of all scheduled time slots.,"The Clarus system shall respond to 95% of environmental data requests, and this 95% response rate shall be achieved during 95% of operational time periods.",False,0.9171755313873291,0.5062205089964132,0.4321430293998618,0.3674084267926467,0.324621217960939,True,True,True
SCOPE_006,"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.","The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information, with each contributor submitting a separate notice.","Contributors shall provide the Clarus program with timely notice before changing, altering, replacing, or eliminating any piece of shared data or information specified in this Clarus Data Sharing Agreement.",False,0.9151403903961182,0.4375,0.33601075251612356,0.2695275620723747,0.2257118047882956,True,True,True
SCOPE_007,"Any reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules.","Any reference in the Clarus Data Sharing Agreement to statutes, regulations, and rules shall be a reference to the amended, substituted, replaced, or re-enacted statute, regulation, or rule individually.","Each reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be interpreted as referring to the current amended, substituted, replaced or re-enacted version of that specific statute, regulation or rule.",False,0.9770323038101196,0.6094568152211364,0.5064275127692492,0.4188637305413725,0.35733069633088255,True,True,True
SCOPE_008,Transfers – The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.,The transfer shall take place in such a manner that data needed to perform a single Fourier Transform shows up on a single processor.,Data transfers shall ensure that all data required for each specific Fourier Transform operation is located on a single processor before that operation begins.,False,0.8630598783493042,0.3333333333333333,0.20851441405707477,0.12812395299555493,0.05538696232597745,True,True,True
SCOPE_009,Each QChS shall produce a unique quality value.,Each QChS shall produce a distinct quality value.,Each QChS shall produce a quality value that is unique within that QChS instance.,False,0.942731499671936,0.354274914555761,0.3092364976715785,0.28412333312786286,0.25558916618229566,True,True,True
SCOPE_010,Fourier Transform Processing – The BE shall be able to perform Fourier Transform the lag set time series. A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used. This process must be able to accept as input the output of any of the time domain processes.,"The BE shall be able to perform Fourier Transform on the lag set time series, accepting as input the output of each individual time domain process.","The Fourier Transform processing shall accept as input the output from each individual time domain process, processing them separately. The BE shall use a power-of-two complex-to-complex Fast Fourier Transform retaining all positive and negative frequencies.",False,0.5813884139060974,0.3809096562944947,0.31145541714649155,0.24531186745772282,0.1722054224101249,True,True,True
SCOPE_011,Start Process – The BE shall be able to initiate a processing task on any Backend processor.,The BE shall initiate a processing task on each individual Backend processor.,"The BE shall be able to initiate a processing task on any available Backend processor, with the system selecting an appropriate processor based on current load.",False,0.8626292943954468,0.2335524179359483,0.1991741712421164,0.17135762925255937,0.13598466352073388,True,True,True
SCOPE_012,Stop Process – The BE shall be able to signal a kill for any Backend process.,The BE shall signal a kill for each individual Backend process.,The BE shall be able to signal termination for any individual Backend process currently running in the system.,False,0.7743582129478455,0.3367721264091229,0.23122995200084864,0.1483896249917507,0.067531175978468,True,True,True
SCOPE_013,Reboot Processor – The BE shall be able to initiate a reboot of any Backend a physical processor.,"The BE shall be able to initiate a reboot of any Backend, and a physical processor shall be one of the Backend types that can be rebooted.",The BE shall be able to initiate a reboot of any individual physical Backend processor.,False,0.9338775873184204,0.48148148148148145,0.43033148291193524,0.4091569047284194,0.38609739509608965,True,True,True
SCOPE_014,Reboot network – The BE shall be able to initiate a reboot of any internal network.,The BE shall initiate a reboot of each individual internal network.,The BE shall be able to initiate a reboot of any individual internal network component within the system.,False,0.8776451349258423,0.4329927339545866,0.3707928248345826,0.2912132457342316,0.200137394907087,True,True,True
SCOPE_015,Output Data Queue – a memory buffer plus backup disk storage of all processed spectra. These will be converted to output AIPS++ Measurement Set entities prior to transfer to the e2e. Data entry status queue to track each record in the buffer.,"The Output Data Queue shall maintain a separate memory buffer and backup disk storage for each processed spectrum, and a separate data entry status queue for each record in the buffer.",The Output Data Queue shall consist of a memory buffer with backup disk storage containing all processed spectra. Each spectrum shall be converted to an AIPS++ Measurement Set entity before transfer to the e2e system. A data entry status queue shall track the processing status of each individual record.,False,0.8040788769721985,0.3609917795560246,0.2594791903062038,0.2003402029425516,0.1470262536698182,True,True,True
SCOPE_016,Input Data Queue – Each record in this queue contains all data needed for any correlation process.,The Input Data Queue shall contain all data needed for each individual correlation process.,"The Input Data Queue shall contain records, where each individual record contains all data needed for a specific correlation process.",False,0.9146811366081238,0.6514390575310556,0.5713498494974254,0.47526144994795244,0.39837977594601254,True,True,True
SCOPE_017,Correlator Control – The BE shall support the management of correlator activities in order to optimize the use of any correlator resource.,The BE shall support the management of correlator activities for each individual correlator resource.,The Correlator Control function shall support management of correlator activities to optimize the use of individual correlator resources based on current system demands.,False,0.737779974937439,0.3755628745898427,0.2755878066677593,0.19004538201223228,0.13355168149192717,True,True,True
SCOPE_018,Input Data Format – All input data shall arrive in a standard format readable by any backend processor.,Input Data Format – All input data shall arrive in a standard format readable by each individual backend processor.,All input data shall arrive in a standard format that is readable by every backend processor in the system.,False,0.9321445226669312,0.631578947368421,0.5619514869490163,0.5100766386809824,0.4699152171992906,True,True,True
SCOPE_019,Pipeline Control – The BE shall be able to configure and control any pipeline running on the system.,The BE shall be able to configure and control each individual pipeline running on the system.,The BE shall be able to configure and control each individual pipeline currently running on the system.,False,0.9959570169448853,0.9394130628134758,0.9075592409014535,0.8727227366438385,0.8320381765431424,True,True,True
SCOPE_020,"Data Output Control – The BE shall have the capability to start, stop, or abort any data output operation.","The BE shall have the capability to start, stop, or abort each individual data output operation.","The BE shall have the capability to start, stop, or abort each individual data output operation independently.",False,0.9885997176170349,0.8806997463876336,0.8787404564269936,0.8771993614526533,0.8742223609582066,True,True,True
SCOPE_021,Resource monitoring - The BE shall monitor all system resources and report the status of any resource that approaches predefined limits.,The BE shall monitor each system resource individually and report the status of any resource that approaches predefined limits.,The BE shall continuously monitor all system resources and report the status of each individual resource when it approaches its predefined limits.,False,0.948931872844696,0.6741628939133172,0.47316082850859553,0.3587754301841734,0.2632378021320207,True,True,True
SCOPE_022,The system shall maintain a log of all user actions and any system events.,The system shall maintain separate logs for user actions and system events.,The system shall maintain a comprehensive log containing all user actions and each individual system event as they occur.,False,0.9175023436546326,0.37202343051336473,0.30718823757991426,0.25293094470104244,0.1769101511580956,True,True,True
SCOPE_023,Each user shall have access to any file they are authorized to view.,Each user shall have access to a separate set of files that they are individually authorized to view.,Each user shall have access to every file for which they have been granted viewing authorization.,False,0.9080888628959656,0.3888888888888889,0.33819977079726155,0.30943867070891407,0.2749977595322415,True,True,True
SCOPE_024,The system shall backup all critical data to any available storage device.,The system shall backup each piece of critical data to any available storage device.,The system shall backup all critical data to any available storage device that meets the backup requirements.,False,0.9474245309829712,0.576512676432421,0.5351138556187733,0.48954558232983764,0.42914185496987844,True,True,True
SCOPE_025,Any administrator can modify all user permissions simultaneously.,Each administrator can modify all user permissions simultaneously.,Each administrator can modify all user permissions through a single batch operation.,False,0.9054477214813232,0.5307143272485543,0.5252709594852752,0.5193894989301397,0.510029457493824,True,True,True
SCOPE_026,The application shall validate all input from any external source.,The application shall validate every input from any external source.,The application shall validate all input received from each individual external source.,False,0.9343854784965515,0.6549846024623855,0.48819669844052344,0.36835008228891036,0.27483906537871355,True,True,True
SCOPE_027,Each transaction shall be logged to any available audit trail.,Each transaction shall be logged to a separate audit trail.,Each transaction shall be logged to any configured audit trail that is available at that time.,False,0.9270987510681152,0.38416814526581844,0.34224418535645096,0.3196876350149062,0.2948682411907622,True,True,True
SCOPE_028,The system shall notify all users of any security breach immediately.,"The system shall notify all users of any security breach immediately, except for users who have opted out of security notifications.",The system shall immediately notify every user in the system when any security breach is detected.,False,0.900233268737793,0.3333333333333333,0.25819888974716115,0.19464403309995135,0.07901838653468335,True,True,True
SCOPE_029,Any error in all system modules shall trigger appropriate recovery procedures.,Any error in a system module shall trigger appropriate recovery procedures for that module.,Each error occurring in any system module shall trigger appropriate recovery procedures specific to that module.,False,0.9497121572494507,0.7430381997858699,0.5889275623767791,0.5031260774475325,0.4457834303038864,True,True,True
