requirement_id,Name_of_Project,Original_Requirement,Fixed_Requirement
106,2005_clarus_low,"The Clarus system shall accept only observations that include location, timestamp, and source metadata.","The Clarus system shall accept only observations that include location, timestamp, and source metadata."
114,2005_clarus_low,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,The Clarus system shall be able to communicate with environmental sensor stations using the NTCIP ESS 1204 protocol through the Clarus system's collector.
359,2005_clarus_low,The Clarus program shall maintain information about data provider redistribution restrictions.,The Clarus program shall maintain information about restrictions on data providers' redistribution.
363,2005_clarus_low,The Clarus program shall allow potential weather element data providers to request permission to submit weather information.,The Clarus program shall allow potential providers of weather element data to request permission to submit weather information.
409,2002_evla_back,Reboot Processor â€“ The BE shall be able to initiate a reboot of any Backend a physical processor.,Reboot Processor â€“ The BE shall be able to initiate a reboot of any physical processor in the Backend.
413,2002_evla_back,Input Data Queue â€“ a memory buffer of lag frames. Data entry status queue to track each record in the buffer. The lag frames will contain all information necessary to properly assemble complete lag sets.,Input Data Queue â€“ a memory buffer for lag frames. A data entry status queue shall track each record in the buffer. The lag frames will contain all information necessary to properly assemble complete lag sets.
647,2001_hats,"[SRSreq 01] Any operation requiring the user to supply a file name shall allow the user either to select the files from a list derived from files in the currently open application or to key in a file name, a relative path name, or a complete path name.","[SRSreq 01] For any operation requiring a file name, the user shall be able to either: (a) select from a list of files in the currently open application, or (b) manually enter a file name, a relative path name, or a complete path name."
671,2001_hats,"[SRSreq 25] The HATS-GUI shall allow the user to select the colors for types of displayed nodes in a displayed graph. At a minimum, the system shall provide eight colors (red, yellow, white, black, green, blue, orange, and violet) for displayed nodes.","[SRSreq 25] The HATS-GUI shall allow the user to select colors for different types of nodes in displayed graphs. The system shall provide at least eight colors (red, yellow, white, black, green, blue, orange, and violet) for coloring nodes."
678,2001_hats,[SRSreq 32] The Run/Execute Transforms menu item shall provide an interface for selecting and executing transformation language programs.,[SRSreq 32] The 'Run/Execute Transforms' menu item shall provide an interface for selecting transformation language programs and executing them.
698,2001_hats,[SRSreq 53] There shall be exactly one file describing the lexical specification of inputs associated with an application. It shall have the file extension .spec.,[SRSreq 53] There shall be exactly one file per application describing the lexical specification of inputs. This file shall use the .spec extension.
701,2001_hats,[SRSreq 56] Any function of the system which computes a graph automatically shall allow the user to interactively edit the nodes and edges of the computed graph and add title and comment data.,"[SRSreq 56] Any function that automatically computes a graph shall allow the user to: (1) interactively edit the graph's nodes and edges, and (2) add title and comment data to the graph."
716,2001_hats,"[SRSreq 71] The Simulation/Prediction function of the EBC module shall be capable of simulating the effect of various topological changes to the network, such as different failure scenarios or different loading conditions.","[SRSreq 71] The EBC module's Simulation/Prediction function shall simulate effects of network topological changes, including failure scenarios and loading condition variations."
718,2001_hats,[SRSreq 73] The HATS-GUI shall be designed to display a network graph within a defined viewing area.,[SRSreq 73] The HATS-GUI shall display network graphs within a defined viewing area.
720,2001_hats,"[SRSreq 75] The HATS-GUI should use a ""look and feel"" consistent with the Windows environment.","[SRSreq 75] The HATS-GUI shall have a ""look and feel"" consistent with the Windows environment."
725,2001_hats,"[SRSreq 80] The user shall be able to specify the drawing parameters (colors, fonts, pen, etc.) for objects in the graph.","[SRSreq 80] The user shall be able to specify drawing parameters ,such as colors, fonts, and pen styles for graph objects."
777,2002_wasp,The WASP scheduler shall take as input a set of requests and output a valid schedule of observations.,The WASP scheduler shall take a set of observation requests as input and output a valid observation schedule.
787,2002_wasp,Time constraints over contiguous observations should use relative time.,"For contiguous observations, time constraints shall use relative time measurements."
806,2002_wasp,The WASP scheduler shall be built in such a way as to be independent of the hardware architecture on which it is running.,The WASP scheduler shall be hardware architecture-independent.
824,2002_wasp,The WASP scheduler shall be invokable from within a larger system (or command line).,The WASP scheduler shall be invokable either from within a larger system or from a command line.
826,2002_wasp,The WASP scheduler shall allow the input of observing constraints.,The WASP scheduler shall accept observing constraints as input.
830,2002_wasp,A WASP observing session should be able to contain hundreds of observations.,A single WASP observing session shall support hundreds of observations.
832,2002_wasp,The WASP scheduler shall allow the storage of observing constraints.,The WASP scheduler shall store observing constraints.
