requirement_id,Name_of_Project,Original_Requirement,Fixed_Requirement,Explanation
11,2005_clarus_low,The Clarus system shall be able to base its quality checking process on historical environmental data.,The Clarus system shall be able to base the Clarus system's quality checking process on historical environmental data.,'its' could ambiguously refer to either 'Clarus system' or 'quality checking process'. Explicitly repeating 'Clarus system's' removes ambiguity.
13,2005_clarus_low,The Clarus system shall be able to use multiple algorithms for its quality checking process.,The Clarus system shall be able to use multiple algorithms for the Clarus system's quality checking process.,'its' is replaced with 'the Clarus system's' to clarify the antecedent.
15,2005_clarus_low,The CAS shall be configurable to allow new observation types to be implemented as they become available.,The CAS shall be configurable to allow new observation types to be implemented as the new observation types become available.,'they' could refer to either 'observation types' or other system components. Repeating 'new observation types' clarifies.
22,2005_clarus_low,The Clarus system shall record statistics about its operation.,The Clarus system shall record statistics about the Clarus system's operation.,'its' is made explicit by repeating 'the Clarus system's'.
55,2005_clarus_low,CS shall collect environmental data based on its configured schedule.,CS shall collect environmental data based on CS's configured schedule.,'its' is replaced with 'CS's' to explicitly reference the system.
70,2005_clarus_low,CS shall be able to be implemented to collect new observation types as they become available.,CS shall be able to be implemented to collect new observation types as the new observation types become available.,'they' is replaced with 'the new observation types' for clarity.
77,2005_clarus_low,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,CS shall be able to dynamically adjust CS's retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,'its' is replaced with 'CS's' for explicit reference.
78,2005_clarus_low,The Clarus system shall process data as they are received.,The Clarus system shall process data as the data are received.,'they' is replaced with 'the data' to avoid ambiguity with other plural nouns.
79,2005_clarus_low,CS shall process environmental data as they are received.,CS shall process environmental data as the environmental data are received.,'they' is replaced with 'the environmental data' for precision.
114,2005_clarus_low,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,The Clarus system shall be able to communicate with environmental sensor stations through the Clarus system's collector using the NTCIP ESS 1204.,'its' is replaced with 'the Clarus system's' to clarify ownership.
