ID,Project,Requirement,Fixed_Requirement,Vague
1251,1999_tcs,The TCS shall provide the required information to allow the operator to maintain safe separation from other aircraft and a safe altitude in civilian airspace per Federal Aviation Administration (FAA) rules.,"The TCS shall provide the required information including altitude, position, and traffic data to allow the operator to maintain safe separation from other aircraft and safe altitude in civilian airspace per Federal Aviation Administration (FAA) rules, with UHF communications capability for Air Traffic Control (ATC) agencies during peacetime as specified in the safety requirements.",1
319,2005_clarus_low,The Clarus Initiative Management Team shall specify the general frequency of policy meetings.,"The Clarus Initiative Management Team shall specify the general frequency of policy meetings for coordinating Clarus program management, system operations, and stakeholder coordination between service providers and agencies.",1
1263,1999_tcs,"The TCS shall be capable of displaying fuel parameters to the operator to include as a minimum fuel status, flow rate, and bingo fuel.","The TCS shall be capable of displaying fuel parameters to the operator including as minimum fuel status, flow rate, and bingo fuel through real-time AV status monitoring, with graphical representations and multi-level information display tailoring capabilities as specified in the display requirements.",1
1261,1999_tcs,"While the data link is not operational, the TCS shall present the last known AV status values and the time at which the last values were reported.","While the data link is not operational, the TCS shall present the last known AV status values and the time at which the last values were reported, with computed estimated position of AV during Loss of Link based upon last known position projected along flight planned route and LOL timer display to operator as specified in the communication requirements.",1
434,2002_evla_back,"General - Operating system, message passing and other middle-ware, and programming language(s) used shall follow industry standards and be commonly available and widely used. Availability of source code for the OS will be very important.","The operating system, message passing middleware, and programming languages used shall conform to established industry standards and shall be commonly available, widely adopted technologies. The availability of source code for the operating system shall be a high priority selection criterion.",1
537,1999_multi_mahjong,The only option to the user is to quit the game. All processes will be cleaned up (if possible) and the MultiMahjongClient will terminate.,"When the only option available to the user is to quit the game, all processes will be cleaned up (if possible) and the MultiMahjongClient will terminate properly, ensuring graceful shutdown of the client application.",1
1255,1999_tcs,"For mission planning, the TCS shall provide terrain avoidance warning and minimum reception altitude calculations for line of sight flights.","For mission planning, the TCS shall provide terrain avoidance warning and minimum reception altitude calculations for line of sight flights using CD-ROM Digital Terrain Elevation Data (DTED) and Digital Feature Analysis Data (DFAD) compatible with NIMA standards, integrated with mission planning software capabilities as specified in section 3.10.1.2.",1
1220,1999_tcs,"The TCS HCI shall provide the capability to display operator definable â€œLock Outâ€ zones around waypoints, Launch and Recovery Point (LRP), as well as any selected point on the AV flight path.","The TCS HCI shall provide the capability to display operator definable ""Lock Out"" zones around waypoints, Launch and Recovery Point (LRP), and any selected point on the AV flight path through mission planning functionality with terrain avoidance warning and minimum reception altitude calculations for line of sight flights as specified in the safety requirements.",1
1193,1999_tcs,The TCS HCI shall provide the capability to lock onto and hold a coordinate point on the payload imagery window. [SSS447],The TCS HCI shall provide the capability to lock onto and hold a coordinate point on the payload imagery window through operator-controlled payload functions with capability to route RS170A video and digital imagery to TCS functions and display upon operator request as specified in the payload interface requirements.,1
1269,1999_tcs,"The TCS shall receive, process, format, store, retrieve flight and payload data, and perform limited exploitation of payload data.","The TCS shall receive, process, format, store, retrieve flight and payload data through mass storage capabilities with CD-ROM drive and tape drive systems, and perform limited exploitation of payload data with capability to route RS170A video and digital imagery to TCS functions as specified in section 3.10.1.2 and payload requirements.",1
1129,1999_tcs,The TCS shall have sufficient throughput to support the processing requirements of the selected data link. [SSS382],"The TCS shall have sufficient throughput not exceeding 50% of throughput capability delivered over any 10 second period (objective 25%) to support the processing requirements of the selected data link, with hardware supporting data rate characteristics of AV, data link and payload to ensure interoperability as specified in section 3.10.2.",1
119,2005_clarus_low,The Clarus system shall transfer data as efficiently as possible.,"The Clarus system shall transfer data as efficiently as possible through CS, EMS, QEDS, and SS components as specified in I-016, with EMS implementing concurrent data transfer and scheduling services coordinating with F-501 and F-222 requirements as inferred from ConOps §3.2.",1
557,1999_multi_mahjong,The user's manual will also be viewable from within the MultiMahjongClient program.,"The user's manual will also be viewable from within the MultiMahjongClient program, providing integrated help system access for user support during gameplay.",1
