requirement_id,project_name,original_requirement,fixed_requirement,was_changed,ambiguity_type
11,2005_clarus_low,The Clarus system shall be able to base its quality checking process on historical environmental data.,The Clarus system shall be able to base its quality checking process on historical environmental data of the Clarus system.,True,Anaphoric ambiguity
13,2005_clarus_low,The Clarus system shall be able to use multiple algorithms for its quality checking process.,The Clarus system shall be able to use multiple algorithms for the Clarus system's quality checking process.,True,Anaphoric ambiguity
15,2005_clarus_low,The CAS shall be configurable to allow new observation types to be implemented as they become available.,The CAS shall be configurable to allow new observation types to be implemented as new observation types become available.,True,Anaphoric ambiguity
22,2005_clarus_low,The Clarus system shall record statistics about its operation.,The Clarus system shall record statistics about the Clarus system's operation.,True,Pronoun Ambiguity
55,2005_clarus_low,CS shall collect environmental data based on its configured schedule.,CS shall collect environmental data based on CS's configured schedule.,True,Pronoun ambiguity
70,2005_clarus_low,CS shall be able to be implemented to collect new observation types as they become available.,CS shall be able to be implemented to collect new observation types as they become available.,False,Pronoun Ambiguity
77,2005_clarus_low,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,False,Anaphoric ambiguity
78,2005_clarus_low,The Clarus system shall process data as they are received.,The Clarus system shall process data as data are received.,True,Anaphoric ambiguity
79,2005_clarus_low,CS shall process environmental data as they are received.,CS shall process environmental data as they are received.,False,Anaphoric ambiguity
114,2005_clarus_low,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,The Clarus system shall be able to communicate with environmental sensor stations through the Clarus system's collector using the NTCIP ESS 1204.,True,Possessive pronoun ambiguity
116,2005_clarus_low,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,The Clarus system shall be able to communicate with RWIS databases through RWIS databases's native interfaces.,True,Unknown
117,2005_clarus_low,CS shall be able to accept data from an RWIS database in its native output format.,CS shall be able to accept data from an RWIS database in the native output format of the RWIS database.,True,Anaphoric ambiguity
118,2005_clarus_low,The Clarus system shall be able to communicate with an individual ESS through its native interface.,The Clarus system shall be able to communicate with an individual ESS through the ESS's native interface.,True,Anaphoric Ambiguity
131,2005_clarus_low,The DOG shall be able to monitor new environmental data services as they are added.,The DOG shall be able to monitor new environmental data services as they are added.,False,Anaphoric ambiguity
132,2005_clarus_low,The DOG shall be able to record its activities.,The DOG shall be able to record the DOG's activities.,True,Anaphoric ambiguity
136,2005_clarus_low,The EMC shall be configurable to allow new observation types to be implemented as they become available.,The EMC shall be configurable to allow new observation types to be implemented as observation types become available.,True,Anaphoric Ambiguity
151,2005_clarus_low,The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as they become available.,The Clarus system shall allow new EMS to be implemented that disseminate new observation types to be implemented as new observation types become available.,True,Anaphoric ambiguity
169,2005_clarus_low,The QEDC shall be configurable to allow new observation types to be implemented as they become available.,The QEDC shall be configurable to allow new observation types to be implemented as observation types become available.,True,Pronoun ambiguity
171,2005_clarus_low,The QEDC shall maintain observations and their associated quality flags for seven days.,The QEDC shall maintain observations and their associated quality flags for seven days.,False,Anaphoric ambiguity
174,2005_clarus_low,The QEDC shall support queries for its observations.,The QEDC shall support queries for the QEDC's observations.,True,Possessive pronoun ambiguity
176,2005_clarus_low,The QEDC shall support queries against all of its available observation datasets.,The QEDC shall support queries against all of its available observation datasets.,False,Anaphoric ambiguity
196,2005_clarus_low,QEDS shall be able to disseminate new observation types as they become available.,QEDS shall be able to disseminate new observation types as new observation types become available.,True,Antecedent ambiguity
203,2005_clarus_low,QEDS shall log their activities.,QEDS shall log QEDS' activities.,True,Anaphoric Ambiguity
262,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values from multiple observations.,The Clarus system shall be able to base its quality checking process on values from multiple observations on values from multiple observations of the Clarus system.,True,Anaphoric ambiguity
264,2005_clarus_low,The Clarus system shall be able to base its quality checking process on values distributed in time.,The Clarus system shall be able to base its quality checking process on values distributed in time.,False,Anaphoric ambiguity
265,2005_clarus_low,QChS shall be able to base its quality checking process on values distributed in time.,QChS shall be able to base QChS's quality checking process on values distributed in time.,True,Anaphoric ambiguity
266,2005_clarus_low,QChS shall be able to use historical environmental data in their quality checking algorithms.,QChS shall be able to use historical environmental data in QChS' quality checking algorithms.,True,Pronoun Ambiguity
268,2005_clarus_low,QChS shall be implemented to quality check new observation types as they become available.,QChS shall be implemented to quality check new observation types as QChS becomes available.,True,Anaphoric ambiguity
269,2005_clarus_low,QChS shall apply quality flags to data as they are received.,QChS shall apply quality flags to data as the quality flags are received.,True,Anaphoric ambiguity
277,2005_clarus_low,The SS shall record when it initiates actions.,The SS shall record when the SS initiates actions.,True,Anaphoric ambiguity
281,2005_clarus_low,The Clarus system shall track its constituent hosts.,The Clarus system shall track the Clarus system's constituent hosts.,True,Anaphoric Ambiguity
294,2005_clarus_low,The Clarus system shall be able to publish environmental data at three times the volume rate that it collects it.,The Clarus system shall be able to publish environmental data at three times the volume rate that the Clarus system collects.,True,Anaphoric ambiguity
304,2005_clarus_low,The contributors shall identify the intended use of their shared data and information.,The contributors shall identify the intended use of the contributors' shared data and information.,True,Anaphoric ambiguity
305,2005_clarus_low,The contributors shall identify the categories of recipients of their shared data and information.,The contributors shall identify the categories of recipients of their shared data and information.,False,Anaphoric ambiguity
306,2005_clarus_low,The contributors shall define the units of measurements of their shared data and information.,The contributors shall define the units of measurements of the units of measurements of the data and information that they share.,True,Anaphoric ambiguity
307,2005_clarus_low,The Clarus program shall determine how it will provide data and information to contributors.,The Clarus program shall determine how the Clarus program will provide data and information to contributors.,True,Unknown
308,2005_clarus_low,The Clarus program shall provide data and information statistics on its operation to contributors.,The Clarus program shall provide data and information statistics on the program's operation to contributors.,True,Pronoun Ambiguity
310,2005_clarus_low,"The Clarus program shall inform contributors of the ""acceptance and use"" of their data and information.",The Clarus program shall inform contributors of the 'acceptance and use' of contributors' data and information.,True,Anaphoric ambiguity
313,2005_clarus_low,The contributors shall inform the Clarus program of known error(s) and modifications in its data and information.,The contributors shall inform the Clarus program of known error(s) and modifications in the Clarus program's data and information.,True,Anaphoric ambiguity
314,2005_clarus_low,The Clarus program shall determine its redistribution of shared data from contributors based upon Clarus Data Sharing Agreements.,The Clarus program shall determine the redistribution of shared data from contributors based upon Clarus Data Sharing Agreements.,True,Pronoun Ambiguity
315,2005_clarus_low,The Clarus program shall report successes and failures in data and information transmission to its contributors.,The Clarus program shall report successes and failures in data and information transmission to the program's contributors.,True,Pronoun ambiguity
